"","SOURCE_TRACTID","NEIGHBOR_TRACTID"
"1","39001770100","39035150300"
"2","39001770100","39057200400"
"3","39001770100","39093023500"
"4","39001770100","39093023600"
"5","39001770100","39093023700"
"6","39001770100","39113021100"
"7","39001770200","39057200400"
"8","39001770200","39093023400"
"9","39001770200","39093023600"
"10","39001770200","39119911500"
"11","39001770300","39093023400"
"12","39001770300","39093023500"
"13","39001770300","39093023700"
"14","39001770300","39093023800"
"15","39001770300","39093023900"
"16","39001770300","39119911500"
"17","39001770300","39119911600"
"18","39001770400","39093023600"
"19","39001770400","39093023700"
"20","39001770400","39093023800"
"21","39001770500","39093023400"
"22","39001770500","39093023600"
"23","39001770500","39093023800"
"24","39001770500","39093023900"
"25","39001770500","39113021100"
"26","39001770500","39113021900"
"27","39001770600","39093023600"
"28","39001770600","39093023700"
"29","39001770600","39093023900"
"30","39001770600","39119911600"
"31","39003010100","39045031700"
"32","39003010100","39099810300"
"33","39003010100","39153506200"
"34","39003010200","39045031700"
"35","39003010200","39045032500"
"36","39003010200","39045032600"
"37","39003010200","39099810300"
"38","39003010200","39149971900"
"39","39003010200","39151711322"
"40","39003010200","39151711412"
"41","39003010200","39153506400"
"42","39003010300","39045032600"
"43","39003010300","39149972000"
"44","39003010300","39151711202"
"45","39003010300","39151711322"
"46","39003010300","39153505900"
"47","39003010300","39153506200"
"48","39003010600","39081011402"
"49","39003010600","39149972000"
"50","39003010600","39153501100"
"51","39003010600","39153506700"
"52","39003010600","39153520202"
"53","39003010800","39149971800"
"54","39003010800","39149971900"
"55","39003010800","39151711122"
"56","39003010800","39151711202"
"57","39003010800","39151711502"
"58","39003010800","39153501100"
"59","39003010800","39153506600"
"60","39003010800","39153506700"
"61","39003010900","39149972000"
"62","39003010900","39151711202"
"63","39003010900","39151711311"
"64","39003010900","39151711502"
"65","39003010900","39151714701"
"66","39003011000","39149971900"
"67","39003011000","39149972000"
"68","39003011000","39151711122"
"69","39003011000","39151711211"
"70","39003011000","39151711311"
"71","39003011000","39151711321"
"72","39003011000","39151711322"
"73","39003011000","39151711600"
"74","39003011200","39151711202"
"75","39003011200","39151711322"
"76","39003011200","39151711402"
"77","39003011200","39151711600"
"78","39003011200","39153506800"
"79","39003011300","39149971900"
"80","39003011300","39151711202"
"81","39003011300","39151711321"
"82","39003011300","39151711411"
"83","39003011300","39151711412"
"84","39003011300","39151711501"
"85","39003011300","39153506200"
"86","39003011300","39153506800"
"87","39003011400","39049006990"
"88","39003011400","39049007010"
"89","39003011400","39049007043"
"90","39003011400","39151711312"
"91","39003011400","39151711322"
"92","39003011400","39153506200"
"93","39003011500","39049007010"
"94","39003011500","39081011200"
"95","39003011500","39151711412"
"96","39003011500","39151711501"
"97","39003011600","39081001400"
"98","39003011600","39081011200"
"99","39003011600","39151711312"
"100","39003011600","39151711322"
"101","39003011600","39151714901"
"102","39003011600","39151714902"
"103","39003011600","39151715000"
"104","39003011600","39153506500"
"105","39003011800","39149972000"
"106","39003011800","39151711122"
"107","39003011800","39151714701"
"108","39003011800","39151714702"
"109","39003011800","39151714801"
"110","39003011800","39151714802"
"111","39003011800","39151715000"
"112","39003011800","39153506500"
"113","39003011800","39153506600"
"114","39003011900","39081001400"
"115","39003011900","39151711501"
"116","39003011900","39151711502"
"117","39003011900","39151715000"
"118","39003011900","39153506600"
"119","39003011900","39153506700"
"120","39003012000","39149972000"
"121","39003012000","39151711502"
"122","39003012000","39153506500"
"123","39003012000","39153506700"
"124","39003012100","39081001400"
"125","39003012100","39081011402"
"126","39003012100","39149971800"
"127","39003012100","39149972000"
"128","39003012100","39153506500"
"129","39003012100","39153506600"
"130","39003012200","39151711202"
"131","39003012200","39151711211"
"132","39003012200","39151711321"
"133","39003012200","39151711402"
"134","39003012300","39151711202"
"135","39003012300","39151711311"
"136","39003012300","39151711402"
"137","39003012300","39151711600"
"138","39003012300","39151714600"
"139","39003012300","39153506800"
"140","39003012400","39151711211"
"141","39003012400","39151711321"
"142","39003012400","39151711600"
"143","39003012400","39153506800"
"144","39003012600","39151711322"
"145","39003012600","39151714302"
"146","39003012600","39151714901"
"147","39003012600","39153506800"
"148","39003012700","39151711411"
"149","39003012700","39151714802"
"150","39003012700","39151714901"
"151","39003012700","39153506800"
"152","39003012900","39151711211"
"153","39003012900","39151711311"
"154","39003012900","39151714801"
"155","39003012900","39153506800"
"156","39003013000","39151711122"
"157","39003013000","39151711202"
"158","39003013000","39151711211"
"159","39003013000","39151714600"
"160","39003013000","39151714701"
"161","39003013000","39151714702"
"162","39003013100","39151711122"
"163","39003013100","39151711311"
"164","39003013100","39151711502"
