"","SOURCE_TRACTID","39175938500","NEIGHBOR_TRACTID"
"1","39001770100",0,"39035141602"
"2","39001770100",0,"39057200103"
"3","39001770100",0,"39093023300"
"4","39001770100",0,"39093023400"
"5","39001770100",0,"39093023600"
"6","39001770100",0,"39113021100"
"7","39001770200",0,"39057200103"
"8","39001770200",0,"39093023200"
"9","39001770200",0,"39093023400"
"10","39001770200",0,"39119911400"
"11","39001770300",0,"39093023200"
"12","39001770300",0,"39093023300"
"13","39001770300",0,"39093023600"
"14","39001770300",0,"39093023700"
"15","39001770300",0,"39093023800"
"16","39001770300",0,"39119911400"
"17","39001770300",0,"39119911500"
"18","39001770400",0,"39093023400"
"19","39001770400",0,"39093023600"
"20","39001770400",0,"39093023700"
"21","39001770500",0,"39093023200"
"22","39001770500",0,"39093023400"
"23","39001770500",0,"39093023700"
"24","39001770500",0,"39093023800"
"25","39001770500",0,"39113021100"
"26","39001770500",0,"39113021900"
"27","39001770600",0,"39093023400"
"28","39001770600",0,"39093023600"
"29","39001770600",0,"39093023800"
"30","39001770600",0,"39119911500"
"31","39003010100",0,"39045031500"
"32","39003010100",0,"39099810600"
"33","39003010100",0,"39153505800"
"34","39003010200",0,"39045031500"
"35","39003010200",0,"39045032300"
"36","39003010200",0,"39045032500"
"37","39003010200",0,"39099810600"
"38","39003010200",0,"39149971700"
"39","39003010200",0,"39151711312"
"40","39003010200",0,"39151711402"
"41","39003010200",0,"39153505900"
"42","39003010300",0,"39045032500"
"43","39003010300",0,"39149971800"
"44","39003010300",0,"39151711121"
"45","39003010300",0,"39151711312"
"46","39003010300",0,"39153505700"
"47","39003010300",0,"39153505800"
"48","39003010600",0,"39081011200"
"49","39003010600",0,"39149971800"
"50","39003010600",0,"39151714902"
"51","39003010600",0,"39153506500"
"52","39003010600",0,"39153520105"
"53","39003010800",0,"39149971600"
"54","39003010800",0,"39149971700"
"55","39003010800",0,"39151711112"
"56","39003010800",0,"39151711121"
"57","39003010800",0,"39151711412"
"58","39003010800",0,"39151714902"
"59","39003010800",0,"39153506400"
"60","39003010800",0,"39153506500"
"61","39003010900",0,"39149971800"
"62","39003010900",0,"39151711121"
"63","39003010900",0,"39151711202"
"64","39003010900",0,"39151711412"
"65","39003010900",0,"39151714302"
"66","39003011000",0,"39149971700"
"67","39003011000",0,"39149971800"
"68","39003011000",0,"39151711112"
"69","39003011000",0,"39151711122"
"70","39003011000",0,"39151711202"
"71","39003011000",0,"39151711311"
"72","39003011000",0,"39151711312"
"73","39003011000",0,"39151711501"
"74","39003011200",0,"39151711121"
"75","39003011200",0,"39151711312"
"76","39003011200",0,"39151711321"
"77","39003011200",0,"39151711501"
"78","39003011200",0,"39153506600"
"79","39003011300",0,"39149971700"
"80","39003011300",0,"39151711121"
"81","39003011300",0,"39151711311"
"82","39003011300",0,"39151711322"
"83","39003011300",0,"39151711402"
"84","39003011300",0,"39151711411"
"85","39003011300",0,"39153505800"
"86","39003011300",0,"39153506600"
"87","39003011400",0,"39049006945"
"88","39003011400",0,"39049006950"
"89","39003011400",0,"39049007041"
"90","39003011400",0,"39151711211"
"91","39003011400",0,"39151711312"
"92","39003011400",0,"39153505800"
"93","39003011500",0,"39049006950"
"94","39003011500",0,"39081011000"
"95","39003011500",0,"39151711402"
"96","39003011500",0,"39151711411"
"97","39003011600",0,"39081001200"
"98","39003011600",0,"39081011000"
