"Label (Grouping)","Congressional District 1 (113th Congress), Ohio","Congressional District 2 (113th Congress), Ohio","Congressional District 3 (113th Congress), Ohio","Congressional District 4 (113th Congress), Ohio","Congressional District 5 (113th Congress), Ohio","Congressional District 6 (113th Congress), Ohio","Congressional District 7 (113th Congress), Ohio","Congressional District 8 (113th Congress), Ohio","Congressional District 9 (113th Congress), Ohio","Congressional District 10 (113th Congress), Ohio","Congressional District 11 (113th Congress), Ohio","Congressional District 12 (113th Congress), Ohio","Congressional District 13 (113th Congress), Ohio","Congressional District 14 (113th Congress), Ohio","Congressional District 15 (113th Congress), Ohio","Congressional District 16 (113th Congress), Ohio"
"Total:","721,032","721,031","721,031","721,032","721,031","721,032","721,031","721,032","721,032","721,032","721,032","721,031","721,031","721,032","721,031","721,031"
"    Hispanic or Latino","18,673","11,721","43,406","22,848","31,526","6,201","12,884","20,858","67,694","16,097","27,939","13,401","18,774","16,230","13,174","13,248"
"    Not Hispanic or Latino:","702,359","709,310","677,625","698,184","689,505","714,831","708,147","700,174","653,338","704,935","693,093","707,630","702,257","704,802","707,857","707,783"
"        Population of one race:","689,821","697,527","655,892","685,547","680,897","705,714","697,645","687,691","636,169","689,130","679,019","694,194","688,397","695,669","695,975","699,320"
"            White alone","510,140","626,598","400,599","641,612","653,249","685,651","663,131","633,076","512,212","549,012","274,307","636,423","596,272","653,438","652,574","670,969"
"            Black or African American alone","158,517","59,656","229,762","36,319","17,117","15,516","28,254","40,948","112,280","123,137","386,628","32,832","81,907","27,002","26,451","12,789"
"            American Indian and Alaska Native alone","1,091","1,520","1,652","1,326","1,238","1,370","1,343","1,241","1,702","1,516","1,308","1,210","1,324","742","1,431","892"
"            Asian alone","18,259","8,622","21,464","5,296","8,567","2,632","3,968","11,163","8,834","13,998","15,470","22,500","7,839","13,804","14,454","13,895"
"            Native Hawaiian and Other Pacific Islander alone","458","186","568","179","168","92","216","328","116","251","98","176","150","105","154","155"
"            Some Other Race alone","1,356","945","1,847","815","558","453","733","935","1,025","1,216","1,208","1,053","905","578","911","620"
"        Two or More Races:","12,538","11,783","21,733","12,637","8,608","9,117","10,502","12,483","17,169","15,805","14,074","13,436","13,860","9,133","11,882","8,463"
"            Population of two races:","11,615","11,014","19,594","11,916","8,151","8,478","9,885","11,814","16,083","14,568","12,572","12,513","12,887","8,608","10,923","8,036"
"                White; Black or African American","5,648","4,960","11,088","7,074","3,534","3,971","5,070","6,308","9,722","6,934","6,592","5,513","7,374","3,685","4,299","2,797"
"                White; American Indian and Alaska Native","1,715","3,036","2,300","2,655","2,075","3,075","2,677","2,505","2,652","2,631","968","2,596","2,532","1,802","3,091","2,000"
"                White; Asian","2,341","1,929","2,515","1,284","1,788","858","1,234","1,892","1,878","2,960","1,644","3,075","1,639","2,128","2,524","2,323"
"                White; Native Hawaiian and Other Pacific Islander","125","120","146","115","95","112","132","116","130","177","72","146","118","129","133","119"
"                White; Some Other Race","175","182","212","187","191","135","200","151","232","215","160","227","180","198","201","235"
"                Black or African American; American Indian and Alaska Native","659","378","1,568","291","157","164","313","311","742","712","1,715","282","592","224","251","128"
"                Black or African American; Asian","331","143","744","69","66","33","65","131","223","374","634","163","148","100","153","81"
"                Black or African American; Native Hawaiian and Other Pacific Islander","82","23","252","15","13","9","19","46","79","69","130","17","43","8","11","4"
"                Black or African American; Some Other Race","149","54","356","62","54","44","53","70","177","169","362","61","94","50","37","37"
"                American Indian and Alaska Native; Asian","55","18","62","30","16","18","14","34","36","33","55","54","21","43","29","34"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","8","1","4","10","0","0","17","2","7","3","4","5","8","2","2","3"
"                American Indian and Alaska Native; Some Other Race","5","9","22","6","5","8","9","13","13","12","15","2","11","1","6","6"
"                Asian; Native Hawaiian and Other Pacific Islander","77","39","79","49","35","21","28","52","59","77","63","53","48","44","52","54"
"                Asian; Some Other Race","235","115","232","66","112","25","54","166","124","189","149","312","73","190","132","211"
"                Native Hawaiian and Other Pacific Islander; Some Other Race","10","7","14","3","10","5","0","17","9","13","9","7","6","4","2","4"
"            Population of three races:","853","726","1,990","683","427","595","587","625","1,037","1,138","1,412","854","920","489","882","392"
"                White; Black or African American; American Indian and Alaska Native","593","483","1,460","461","252","455","406","412","702","704","1,048","589","649","319","600","220"
"                White; Black or African American; Asian","94","80","205","53","49","38","51","56","139","179","124","78","77","30","93","60"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander","12","8","36","17","10","6","8","17","10","33","16","7","11","4","14","5"
"                White; Black or African American; Some Other Race","22","25","39","14","14","15","27","22","37","29","47","18","46","22","18","19"
"                White; American Indian and Alaska Native; Asian","35","39","74","35","42","37","35","39","34","53","35","38","34","25","45","25"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","3","10","4","8","4","3","3","1","3","3","8","8","10","2","6","3"
"                White; American Indian and Alaska Native; Some Other Race","5","10","10","7","6","4","5","6","11","8","8","5","7","5","12","4"
"                White; Asian; Native Hawaiian and Other Pacific Islander","40","27","55","62","28","21","36","41","39","49","19","45","32","41","60","40"
"                White; Asian; Some Other Race","18","18","16","8","14","7","4","11","10","22","12","24","26","9","14","6"
"                White; Native Hawaiian and Other Pacific Islander; Some Other Race","2","0","0","0","1","1","3","3","2","2","4","0","1","2","0","1"
"                Black or African American; American Indian and Alaska Native; Asian","9","9","37","4","1","2","0","7","19","24","35","20","14","18","7","3"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","1","0","8","1","1","1","2","0","5","5","6","0","3","0","2","1"
"                Black or African American; American Indian and Alaska Native; Some Other Race","7","12","8","1","0","0","2","3","10","11","6","6","0","10","4","0"
