fips,county
1,Adams
3,Allen
5,Ashland
7,Ashtabula
9,Athens
11,Auglaize
13,Belmont
15,Brown
17,Butler
19,Carroll
21,Champaign
23,Clark
25,Clermont
27,Clinton
29,Columbiana
31,Coshocton
33,Crawford
35,Cuyahoga
37,Darke
39,Defiance
41,Delaware
43,Erie
45,Fairfield
47,Fayette
49,Franklin
51,Fulton
53,Gallia
55,Geauga
57,Greene
59,Guernsey
61,Hamilton
63,Hancock
65,Hardin
67,Harrison
69,Henry
71,Highland
73,Hocking
75,Holmes
77,Huron
79,Jackson
81,Jefferson
83,Knox
85,Lake
87,Lawrence
89,Licking
91,Logan
93,Lorain
95,Lucas
97,Madison
99,Mahoning
101,Marion
103,Medina
105,Meigs
107,Mercer
109,Miami
111,Monroe
113,Montgomery
115,Morgan
117,Morrow
119,Muskingum
121,Noble
123,Ottawa
125,Paulding
127,Perry
129,Pickaway
131,Pike
133,Portage
135,Preble
137,Putnam
139,Richland
141,Ross
143,Sandusky
145,Scioto
147,Seneca
149,Shelby
151,Stark
153,Summit
155,Trumbull
157,Tuscarawas
159,Union
161,Van Wert
163,Vinton
165,Warren
167,Washington
169,Wayne
171,Williams
173,Wood
175,Wyandot
