"GEO_ID","CIT_EST","district"
"39001001AAA",1461,16
"39001001AAB",482,16
"39001001AAC",754,16
"39001001AAD",1110,16
"39001001AAE",557,16
"39001001AAF",94,16
"39001001AAG",403,16
"39001001AAH",643,16
"39001001AAI",1118,16
"39001001AAJ",55,16
"39001001AAK",640,16
"39001001AAL",590,16
"39001001AAM",767,16
"39001001AAN",1350,16
"39001001AAO",773,16
"39001001AAP",906,16
"39001001AAQ",876,16
"39001001AAR",686,16
"39001001AAS",1319,16
"39001001AAT",393,16
"39001001AAU",942,16
"39001001AAV",851,16
"39001001AAW",1121,16
"39001001AAX",746,16
"39001001AAY",1142,16
"39001001AAZ",1175,16
"39001001ABA",569,16
"39001001ABB",933,16
"39001001ABC",757,16
"39001001ABD",984,16
"39001001ABE",155,16
"39001001ABF",1143,16
"39001001ABG",1157,16
"39001001ABH",1051,16
"39001001ABI",847,16
"39003000057",585,15
"39003003AAA",1229,15
"39003003AAC",757,15
"39003003AAE",1147,15
"39003003AAG",805,15
"39003003AAH",4293,15
"39003003AAJ",570,15
"39003003AAK",510,15
"39003003AAL",1625,15
"39003003AAN",767,15
"39003003AAO",1553,15
"39003003AAP",576,15
"39003003AAQ",319,15
"39003003AAR",382,15
"39003003AAS",389,15
"39003003AAT",813,15
"39003003AAV",810,15
"39003003AAW",1564,15
"39003003AAX",1379,15
"39003003AAY",1201,15
"39003003ABE",844,15
"39003003ABF",847,15
"39003003ABH",414,15
"39003003ABI",613,15
"39003003ABJ",626,15
"39003003ABK",808,15
"39003003ABM",636,15
"39003003ABP",1117,15
"39003003ABQ",563,15
"39003003ABR",1282,15
"39003003ABT",1212,15
"39003003ABW",697,15
"39003003ABX",866,15
"39003003ABZ",682,15
"39003003ACA",673,15
"39003003ACB",535,15
"39003003ACC",1006,15
"39003003ACD",1780,15
"39003003ACE",944,15
"39003003ACG",499,15
"39003003ACH",829,15
"39003003ACI",570,15
"39003003ACM",1327,15
"39003003ACN",1638,15
"39003003ACO",1511,15
"39003003ACT",1280,15
"39003003ACU",791,15
"39003003ACW",539,15
"39003003ACX",453,15
"39003003ACY",428,15
"39003003ADA",527,15
"39003003ADB",1069,15
"39003003ADC",643,15
"39003003ADD",943,15
"39003003ADF",876,15
"39003003ADG",1750,15
"39003003ADI",1131,15
"39003003ADJ",1016,15
"39003003ADK",673,15
"39003003ADL",541,15
"39003003ADO",533,15
"39003003ADP",206,15
"39003003ADQ",1131,15
"39003003ADR",842,15
"39003003ADT",1028,9
"39003003ADU",417,9
"39003003ADW",1338,9
"39003003ADY",547,15
"39003003ADZ",877,15
"39003003AEA",721,15
"39003003AEB",460,15
"39003003AEC",1161,15
"39003003AED",766,15
"39003003AEE",1168,15
"39003003AEF",607,15
"39003003AEG",843,15
"39003003AEI",760,15
"39003003AEJ",934,15
"39003003AEK",875,15
"39003003AEN",1251,15
"39003003AEO",445,9
"39003003AEQ",1360,9
"39003003AES",1589,15
"39003003AET",1188,15
"39003003AEW",524,8
"39003003AEX",893,8
"39003003AEY",809,8
"39003003AEZ",845,15
"39003003AFA",937,15
"39003003AFB",1141,15
"39003003AFC",610,15
"39003003AFE",382,8
"39003003AFF",1009,8
"39003003AFG",958,8
"39003003AFI",1009,8
"39003003AFJ",756,8
"39003003AFK",777,8
"39003003AFL",621,8
"39003003AFM",777,8
"39003003AFN",782,15
"39003003AFO",537,15
"39003003AFP",129,15
"39003003AFQ",708,15
"39003003AFR",765,15
"39003003AFS",711,15
"39003003AFT",609,15
"39003003AFU",622,15
"39003003AFV",574,15
"39003003AFW",517,15
"39003003AFX",777,15
"39003003AFY",358,15
"39003003AFZ",818,15
"39003003AGA",808,15
"39003003AGB",1228,15
"39003003AGC",1244,15
"39003003AGD",1246,15
"39003003AGI",844,15
"39003003AGK",1223,15
"39003003AGL",1000,15
"39003003AGN",1283,15
"39005005AAA",1112,2
"39005005AAB",1750,2
"39005005AAC",762,2
"39005005AAD",731,2
"39005005AAE",700,2
"39005005AAF",729,2
"39005005AAG",740,2
"39005005AAH",866,2
"39005005AAI",675,2
"39005005AAJ",362,2
"39005005AAK",120,2
