"Geography","Population","district"
"39001770100",4864,6
"39001770200",4815,6
"39001770300",6964,6
"39001770400",4948,6
"39001770500",3442,6
"39001770600",3517,6
"39003010100",4405,15
"39003010200",4110,15
"39003010300",1676,15
"39003010600",5138,15
"39003010800",7994,15
"39003010900",4515,15
"39003011000",5445,15
"39003011200",4218,15
"39003011300",7559,15
"39003011400",3056,15
"39003011500",2783,15
"39003011600",2693,15
"39003011800",2346,15
"39003011900",3208,15
"39003012000",2410,15
"39003012100",3455,15
"39003012200",3291,15
"39003012300",4052,15
"39003012400",2710,15
"39003012600",1834,15
"39003012700",1648,15
"39003012900",1741,15
"39003013000",3993,15
"39003013100",2313,15
"39003013200",1774,15
"39003013300",1290,15
"39003013400",2549,15
"39003013600",1375,15
"39003013700",1156,15
"39003013800",2728,15
"39003013900",3406,15
"39003014000",3309,15
"39003014100",2151,15
"39005970100",8353,14
"39005970200",5845,13
"39005970300",3895,13
"39005970400",3837,14
"39005970500",3083,14
"39005970600",5371,13
"39005970700",5288,10
"39005970800",4071,10
"39005970900",4943,10
"39005971000",4779,10
"39005971100",3674,10
"39007000101",4554,3
"39007000102",3483,3
"39007000103",3721,3
"39007000200",4688,3
"39007000300",2214,3
"39007000400",1794,3
"39007000500",4265,3
"39007000601",2746,3
"39007000602",3428,3
"39007000603",4101,3
"39007000701",3292,3
"39007000702",2971,3
"39007000703",3873,3
"39007000704",4041,3
"39007000801",1736,3
"39007000802",5187,3
"39007000900",4780,3
"39007001001",5564,3
"39007001002",3465,3
"39007001101",1973,3
"39007001102",6060,3
"39007001200",7482,3
"39007001301",3927,7
"39007001302",3896,3
"39007001400",8256,3
"39007990000",0,3
"39009972600",4483,8
"39009972700",3981,8
"39009972800",4500,8
"39009972900",5391,6
"39009973000",3614,6
"39009973101",4527,6
"39009973200",4830,6
"39009973300",3721,6
"39009973400",3347,8
"39009973500",3428,8
"39009973600",3972,8
"39009973700",4140,8
"39009973800",4867,6
"39009973901",6462,6
"39009973902",3494,6
"39011040100",4025,15
"39011040200",4142,15
"39011040300",3645,15
"39011040400",6712,15
"39011040500",5021,15
"39011040600",3851,15
"39011040900",3748,15
"39011041000",3649,15
"39011041100",3992,15
"39011041201",1893,15
"39011041202",5271,15
"39013010100",4264,7
"39013010200",3905,7
"39013010300",3425,7
"39013010600",3712,7
"39013010700",2695,7
"39013010802",2323,7
"39013010900",6798,7
"39013011000",5009,8
"39013011200",3491,7
"39013011300",4019,7
"39013011400",4499,7
"39013011500",1640,7
"39013011600",1250,7
"39013011700",1406,7
"39013011900",3071,7
"39013012000",2643,7
"39013012100",1277,7
"39013012200",6288,7
"39013012300",4104,7
"39013012400",4581,7
"39015951201",4427,6
"39015951202",5041,6
"39015951300",7777,6
"39015951400",4393,6
"39015951500",5423,6
"39015951600",3699,6
"39015951700",2673,6
"39015951800",5270,6
"39015951900",6143,6
"39017000100",4639,16
"39017000200",4226,16
"39017000300",3349,16
"39017000400",4944,16
"39017000500",4575,16
"39017000600",5017,16
"39017001001",5464,16
"39017001002",5087,16
"39017001100",4550,16
"39017001300",4256,16
"39017010101",6819,16
"39017010102",2749,16
"39017010103",5308,16
"39017010104",5265,16
"39017010201",1950,16
"39017010202",4194,16
"39017010203",5515,16
"39017010301",4449,11
"39017010302",3550,11
"39017010500",2377,16
"39017010600",3427,16
"39017010800",6568,16
"39017010901",4349,16
"39017010903",5328,16
"39017010904",3604,16
"39017010906",7155,16
"39017010907",2611,16
"39017010908",5300,16
"39017010909",4716,16
"39017010910",4780,16
"39017010911",4226,16
"39017011002",12210,16
"39017011003",6422,16
"39017011004",6001,16
"39017011109",4389,5
"39017011110",5250,5
"39017011111",6730,5
"39017011112",5537,16
"39017011116",8529,16
"39017011117",11039,16
"39017011118",3014,5
"39017011120",7393,5
"39017011121",7593,5
"39017011122",5068,16
"39017011123",5075,16
"39017011125",3623,5
"39017011126",4811,5
"39017011127",4600,16
"39017011128",3138,5
"39017011129",4246,16
"39017011130",5167,5
"39017011131",3122,5
"39017011200",7802,5
"39017011300",5044,11
"39017011800",5845,11
"39017012100",3245,11
"39017012200",3226,11
"39017012300",2028,5
"39017012400",2322,6
"39017012500",4812,5
"39017012600",2467,5
"39017012700",2983,11
"39017013000",1715,11
"39017013100",2105,5
"39017013200",3327,5
"39017013300",2134,5
"39017013400",2180,5
"39017013500",2876,5
"39017013600",5064,5
"39017013900",2832,5
"39017014000",2687,11
"39017014100",2276,5
"39017014300",4574,11
"39017014400",1882,11
"39017014600",1037,16
"39017014700",4202,16
"39017014800",6773,16
"39017014900",4941,16
"39017015000",7629,16
"39017015100",6818,11
"39019720100",3517,7
"39019720200",3626,7
"39019720300",5274,7
"39019720400",4318,2
"39019720500",5397,7
"39019720600",3451,7
"39019720700",3253,7
"39021010100",1809,12
"39021010200",7260,12
"39021010400",4150,12
"39021010500",4070,12
"39021010600",4130,12
"39021011001",2702,12
"39021011501",4473,12
"39021011504",5194,12
"39021011505",3313,12
"39021011506",2996,12
"39023000200",1559,12
"39023000300",1635,12
"39023000400",2229,12
"39023000500",1880,12
"39023000600",2768,12
"39023000700",2577,12
"39023000901",2475,12
"39023000902",1244,12
"39023001000",1501,12
"39023001101",1452,12
"39023001102",2841,12
"39023001200",4245,12
"39023001300",4124,12
"39023001400",3566,12
"39023001500",4353,12
"39023001600",3885,12
"39023001700",2665,12
"39023001900",2865,12
"39023002000",2205,12
"39023002100",1749,12
"39023002200",4358,12
"39023002301",3238,12
"39023002403",3998,12
"39023002404",3112,12
"39023002501",2078,12
"39023002502",3174,12
"39023002601",3818,12
"39023002602",4067,12
"39023002605",3858,12
"39023002606",7726,12
"39023002701",3173,12
"39023002702",2681,12
"39023002800",4649,12
"39023002901",3743,12
"39023002902",4477,12
"39023003001",3145,12
"39023003002",3574,12
"39023003101",2517,12
"39023003102",1878,12
"39023003200",2798,12
"39023003301",3577,12
"39023003302",2543,12
"39023003400",3700,12
"39023003700",4633,12
"39025040101",5176,6
"39025040102",2689,6
"39025040202",2177,6
"39025040203",6195,5
"39025040204",7181,5
"39025040301",3839,5
"39025040302",3459,5
"39025040303",7207,5
"39025040401",3595,5
"39025040403",2719,5
"39025040404",3758,5
"39025040405",2582,5
"39025040500",5109,5
"39025040600",6817,5
"39025040701",6313,5
"39025040702",4019,5
"39025040800",5890,5
"39025040900",5746,6
"39025041000",7507,5
"39025041101",2782,5
"39025041102",4656,5
"39025041103",8335,5
"39025041200",8350,5
"39025041303",5028,5
"39025041304",37,5
"39025041305",4466,5
"39025041306",4286,5
"39025041307",4840,5
"39025041403",4342,5
"39025041404",4742,5
"39025041405",5472,5
"39025041406",4857,5
"39025041501",6269,5
"39025041502",8080,5
"39025041600",5192,5
"39025041701",4522,6
"39025041702",3306,6
"39025041800",3692,6
"39025041900",5665,6
"39025042000",6466,6
"39027964300",3712,6
"39027964400",5087,6
"39027964500",6300,6
"39027964600",2976,6
"39027964700",5569,6
"39027964800",4942,6
"39027964900",4984,6
"39027965000",4156,6
"39027965100",4314,6
"39029950100",5712,7
"39029950200",4741,7
"39029950300",5100,7
"39029950400",4443,7
"39029950500",6097,7
"39029950600",4951,7
"39029950700",5488,7
"39029950800",4531,7
"39029950900",3999,7
"39029951000",5894,7
"39029951100",4845,7
"39029951200",4567,7
"39029951300",3991,7
"39029951400",7652,7
"39029951500",4654,7
"39029951600",5562,7
"39029951700",5108,7
"39029951800",3279,7
"39029951900",3665,7
"39029952000",2827,7
"39029952100",1521,7
"39029952200",2085,7
"39029952300",3039,7
"39029952400",4090,7
"39031960900",4652,2
"39031961000",4690,2
"39031961100",4373,8
"39031961200",3218,8
"39031961300",3944,8
"39031961400",3348,8
"39031961500",2499,8
"39031961600",2324,8
"39031961700",2863,8
"39031961800",4990,8
"39033974100",3666,15
"39033974200",4345,15
"39033974300",2765,15
"39033974400",3458,15
"39033974500",4102,15
"39033974600",2789,15
"39033974700",4026,15
"39033974800",2221,15
"39033974900",3397,15
"39033975000",3748,10
