"Geography","fips_county","fips_tract","Population","White","Black","Asian","NHPI","AIAN","Two or More Races","Other","district"
"39001770100","001","770100",4864,4735,28,4,0,16,68,13,13
"39001770200","001","770200",4815,4734,11,9,0,16,38,7,13
"39001770300","001","770300",6964,6848,24,7,1,21,56,7,13
"39001770400","001","770400",4948,4827,14,8,1,15,71,12,13
"39001770500","001","770500",3442,3332,5,3,0,26,72,4,13
"39001770600","001","770600",3517,3406,5,2,0,14,74,16,13
"39003010100","003","010100",4405,4206,71,39,0,8,52,29,6
"39003010200","003","010200",4110,4029,13,6,0,8,46,8,6
"39003010300","003","010300",1676,1645,7,1,0,0,12,11,9
"39003010600","003","010600",5138,5005,21,15,0,5,79,13,9
"39003010800","003","010800",7994,7407,304,109,0,12,110,52,9
"39003010900","003","010900",4515,3761,585,38,5,6,77,43,9
"39003011000","003","011000",5445,4345,748,89,1,12,204,46,9
"39003011200","003","011200",4218,3132,968,12,0,0,36,70,9
"39003011300","003","011300",7559,7165,148,71,1,4,118,52,9
"39003011400","003","011400",3056,3003,18,8,0,4,16,7,9
"39003011500","003","011500",2783,2731,13,7,0,1,25,6,9
"39003011600","003","011600",2693,2550,64,1,0,9,54,15,9
"39003011800","003","011800",2346,2098,127,38,1,3,62,17,9
"39003011900","003","011900",3208,3033,69,17,0,9,39,41,9
"39003012000","003","012000",2410,2211,122,41,2,2,31,1,9
"39003012100","003","012100",3455,3127,154,99,0,4,62,9,9
"39003012200","003","012200",3291,2290,710,30,1,4,199,57,9
"39003012300","003","012300",4052,3262,536,13,0,8,195,38,9
"39003012400","003","012400",2710,1993,473,14,1,7,182,40,9
"39003012600","003","012600",1834,1510,250,9,0,8,43,14,9
"39003012700","003","012700",1648,941,559,15,0,12,99,22,9
"39003012900","003","012900",1741,1033,545,3,1,4,120,35,9
"39003013000","003","013000",3993,3065,691,12,1,13,175,36,9
"39003013100","003","013100",2313,1968,248,15,0,4,65,13,9
"39003013200","003","013200",1774,1201,460,2,0,3,91,17,9
