"Geography","Population","district"
"39001001AAA",1461,15
"39001001AAB",482,15
"39001001AAC",754,15
"39001001AAD",1110,15
"39001001AAE",557,15
"39001001AAF",94,15
"39001001AAG",403,15
"39001001AAH",643,15
"39001001AAI",1118,9
"39001001AAJ",55,15
"39001001AAK",640,15
"39001001AAL",590,15
"39001001AAM",767,15
"39001001AAN",1350,15
"39001001AAO",773,15
"39001001AAP",906,15
"39001001AAQ",876,15
"39001001AAR",686,15
"39001001AAS",1319,9
"39001001AAT",393,9
"39001001AAU",942,9
"39001001AAV",851,15
"39001001AAW",1121,9
"39001001AAX",746,9
"39001001AAY",1142,15
"39001001AAZ",1175,9
"39001001ABA",569,15
"39001001ABB",933,9
"39001001ABC",757,15
"39001001ABD",984,9
"39001001ABE",155,9
"39001001ABF",1143,9
"39001001ABG",1157,9
"39001001ABH",1051,9
"39001001ABI",847,9
"39003000057",585,16
"39003003AAA",1229,16
"39003003AAC",757,16
"39003003AAE",1147,16
"39003003AAG",805,16
"39003003AAH",4293,16
"39003003AAJ",570,16
"39003003AAK",510,16
"39003003AAL",1625,16
"39003003AAN",767,16
"39003003AAO",1553,16
"39003003AAP",576,16
"39003003AAQ",319,16
"39003003AAR",382,16
"39003003AAS",389,16
"39003003AAT",813,16
"39003003AAV",810,16
"39003003AAW",1564,16
"39003003AAX",1379,16
"39003003AAY",1201,16
"39003003ABE",844,16
"39003003ABF",847,16
"39003003ABH",414,16
"39003003ABI",613,16
"39003003ABJ",626,16
"39003003ABK",808,16
"39003003ABM",636,16
"39003003ABP",1117,16
"39003003ABQ",563,16
"39003003ABR",1282,16
"39003003ABT",1212,16
"39003003ABW",697,16
"39003003ABX",866,16
"39003003ABZ",682,16
"39003003ACA",673,16
"39003003ACB",535,16
"39003003ACC",1006,16
"39003003ACD",1780,16
"39003003ACE",944,16
"39003003ACG",499,16
"39003003ACH",829,16
"39003003ACI",570,16
"39003003ACM",1327,16
"39003003ACN",1638,16
"39003003ACO",1511,16
"39003003ACT",1280,16
"39003003ACU",791,16
"39003003ACW",539,16
"39003003ACX",453,16
"39003003ACY",428,16
"39003003ADA",527,16
"39003003ADB",1069,16
"39003003ADC",643,16
"39003003ADD",943,16
"39003003ADF",876,16
"39003003ADG",1750,16
"39003003ADI",1131,16
"39003003ADJ",1016,16
"39003003ADK",673,16
"39003003ADL",541,16
"39003003ADO",533,16
"39003003ADP",206,16
"39003003ADQ",1131,16
"39003003ADR",842,16
"39003003ADT",1028,16
"39003003ADU",417,16
"39003003ADW",1338,16
"39003003ADY",547,16
"39003003ADZ",877,16
"39003003AEA",721,16
"39003003AEB",460,16
"39003003AEC",1161,16
"39003003AED",766,16
"39003003AEE",1168,16
"39003003AEF",607,16
"39003003AEG",843,16
"39003003AEI",760,16
"39003003AEJ",934,16
"39003003AEK",875,16
"39003003AEN",1251,16
"39003003AEO",445,16
"39003003AEQ",1360,16
"39003003AES",1589,16
"39003003AET",1188,16
"39003003AEW",524,16
"39003003AEX",893,16
"39003003AEY",809,16
"39003003AEZ",845,16
"39003003AFA",937,16
"39003003AFB",1141,16
"39003003AFC",610,16
"39003003AFE",382,16
"39003003AFF",1009,16
"39003003AFG",958,16
"39003003AFI",1009,16
"39003003AFJ",756,16
"39003003AFK",777,16
"39003003AFL",621,16
"39003003AFM",777,16
"39003003AFN",782,16
"39003003AFO",537,16
"39003003AFP",129,16
"39003003AFQ",708,16
"39003003AFR",765,16
"39003003AFS",711,16
"39003003AFT",609,16
"39003003AFU",622,16
"39003003AFV",574,16
"39003003AFW",517,16
"39003003AFX",777,16
"39003003AFY",358,16
"39003003AFZ",818,16
"39003003AGA",808,16
"39003003AGB",1228,16
"39003003AGC",1244,16
"39003003AGD",1246,16
"39003003AGI",844,16
"39003003AGK",1223,16
"39003003AGL",1000,16
"39003003AGN",1283,16
"39005005AAA",1112,3
"39005005AAB",1750,3
"39005005AAC",762,3
"39005005AAD",731,5
"39005005AAE",700,5
"39005005AAF",729,5
"39005005AAG",740,3
"39005005AAH",866,3
"39005005AAI",675,3
"39005005AAJ",362,5
"39005005AAK",120,3
"39005005AAL",551,3
"39005005AAM",806,3
"39005005AAN",916,3
"39005005AAQ",623,3
"39005005AAR",607,3
"39005005AAS",726,3
"39005005AAT",438,3
"39005005AAU",1242,3
"39005005AAV",1101,3
"39005005AAW",255,3
"39005005AAZ",789,3
"39005005ABA",769,3
"39005005ABB",1178,3
"39005005ABC",1054,3
"39005005ABD",736,3
"39005005ABF",361,5
"39005005ABG",1502,5
"39005005ABH",413,5
"39005005ABI",980,2
"39005005ABJ",828,2
"39005005ABK",735,2
"39005005ABN",1379,1
"39005005ABO",1184,2
"39005005ABP",399,1
"39005005ABQ",496,1
"39005005ABS",1578,3
"39005005ABT",1973,3
"39005005ABU",336,3
"39005005ABV",690,2
"39005005ABY",737,3
"39005005ABZ",775,5
"39005005ACA",873,5
"39005005ACB",562,2
"39005005ACC",676,2
"39005005ACD",795,2
"39005005ACE",791,3
"39005005ACF",585,3
"39005005ACG",633,3
"39005005ACH",713,3
"39005005ACI",858,3
"39005005ACJ",722,5
"39005005ACK",943,3
"39005005ACL",927,3
"39005005ACM",1063,3
"39005005ACN",905,5
"39005005ACO",1286,3
"39005005ACP",1227,3
"39005005ACQ",1132,5
"39005005ACR",448,3
"39005005ACS",750,3
"39005005ACT",698,3
"39005005ACU",722,3
"39005005ACV",520,5
"39005005ACW",606,5
"39007007999",0,7
"39007007AAA",674,7
"39007007AAB",507,7
"39007007AAC",382,7
"39007007AAD",731,7
"39007007AAE",712,7
"39007007AAF",438,7
"39007007AAG",383,7
"39007007AAH",763,7
"39007007AAI",647,7
"39007007AAJ",703,7
"39007007AAK",450,7
"39007007AAL",659,7
"39007007AAM",608,7
"39007007AAN",990,7
"39007007AAO",1062,7
"39007007AAP",785,7
"39007007AAQ",1066,7
"39007007AAR",644,7
"39007007AAS",978,7
"39007007AAT",552,7
"39007007AAU",767,7
"39007007AAV",568,7
"39007007AAW",731,7
"39007007AAX",892,7
"39007007AAY",639,7
"39007007AAZ",773,7
"39007007ABA",1006,7
"39007007ABB",2125,7
"39007007ABC",566,7
"39007007ABD",760,7
"39007007ABE",640,7
"39007007ABF",1120,7
"39007007ABG",687,7
"39007007ABH",501,7
"39007007ABI",888,7
"39007007ABJ",532,7
"39007007ABK",669,7
"39007007ABL",543,7
"39007007ABM",1172,7
"39007007ABN",783,7
"39007007ABO",741,7
"39007007ABP",1114,7
"39007007ABR",680,7
"39007007ABS",522,7
"39007007ABT",959,7
"39007007ABU",1002,7
"39007007ABV",680,7
"39007007ABW",574,7
"39007007ABX",1038,7
"39007007ABY",654,7
"39007007ABZ",929,7
"39007007ACA",685,7
"39007007ACB",587,7
"39007007ACC",552,7
"39007007ACD",867,7
"39007007ACG",646,7
"39007007ACH",783,7
"39007007ACI",599,7
"39007007ACJ",851,7
"39007007ACK",691,7
"39007007ACL",534,7
"39007007ACM",687,7
"39007007ACO",1101,7
"39007007ACP",1096,7
"39007007ACQ",955,7
"39007007ACR",994,7
"39007007ACS",946,7
"39007007ACT",846,7
"39007007ACU",1056,7
"39007007ACV",953,7
"39007007ACW",965,7
"39007007ACX",708,7
"39007007ACY",493,7
"39007007ACZ",795,7
"39007007ADA",748,7
"39007007ADB",1099,7
"39007007ADC",867,7
"39007007ADD",822,7
"39007007ADE",775,7
"39007007ADF",598,7
"39007007ADG",619,7
"39007007ADH",750,7
"39007007ADI",687,7
"39007007ADJ",580,7
"39007007ADK",1191,7
"39007007ADL",827,7
"39007007ADM",899,7
"39007007ADN",867,7
"39007007ADO",682,7
"39007007ADP",768,7
"39007007ADQ",1235,7
"39007007ADR",1146,7
"39007007ADS",536,7
"39007007ADT",1000,7
"39007007ADU",1116,7
"39007007ADV",1002,7
"39007007ADW",892,7
"39007007ADX",450,7
"39007007ADY",579,7
"39007007ADZ",1447,7
"39007007AEA",1659,7
"39007007AEB",1285,7
"39007007AEC",682,7
"39007007AED",724,7
"39007007AEE",575,7
"39007007AEF",938,7
"39007007AEG",932,7
"39007007AEH",628,7
"39007007AEI",887,7
"39007007AEJ",769,7
"39007007AEK",728,7
"39007007AEL",825,7
"39007007AEM",361,7
"39007007AEN",488,7
"39007007AEO",712,7
"39007007AEP",628,7
"39007007AEQ",665,7
"39007007AER",974,7
"39007007AES",677,7
"39007007AET",731,7
"39007007AEU",630,7
"39007007AEV",632,7
"39007007AEW",1013,7
