"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",715187,561586,149642.98,195546.03,1167.12,3931.7,350287.83,345189.01,43.3510267317027,56.6489732682972,98.5443913366902,48.9784951348389,62.3747440285192,-13.2979465365945,"Republian"
"2",718551,538955.445196211,130778.147916103,195277.748592693,1270.50856562923,3422.94926928281,330749.354343708,326055.896508796,40.1091191161988,59.8908808838012,98.5809623591783,46.0300457926727,61.368589424548,-19.7817617676024,"Republian"
"3",714920,545811,97615.63,240620.91,1143.72,3762.28,343142.54,338236.54,28.8601669115939,71.1398330884061,98.5702734496282,47.9973339674369,62.8683811795658,-42.2796661768122,"Republian"
"4",727888,646885,260649.41,197861.8,1252,5988.37,465751.58,458511.21,56.8469002099207,43.1530997900793,98.4454438136313,63.9867094937683,71.9991312211599,13.6938004198414,"Democrat"
"5",707296,533480,90672.1,228896.47,883,3424.58,323876.15,319568.57,28.3732846443566,71.6267153556434,98.6699916001842,45.7907509727186,60.7100828522156,-43.2534307112868,"Republian"
"6",728874,596172,214039.89,191175.85,1153.18,5240,411608.92,405215.74,52.8212181491272,47.1787818508728,98.4467829317207,56.4718895172554,69.0419744637454,5.6424362982544,"Democrat"
"7",726914,621586,228267.37,122816.21,1402.02,4325.04,356810.64,351083.58,65.0179566928194,34.9820433071806,98.3949301511861,49.0856745089515,57.4032619782298,30.0359133856388,"Democrat"
"8",723164,591564,146569.24,264067.01,1081.93,5285.98,417004.16,410636.25,35.6932053611925,64.3067946388075,98.4729384953858,57.6638438860342,70.4918081560068,-28.6135892776149,"Republian"
"9",711487,576614.652872777,204081.973956908,188708.338826949,1089.7532250342,3487.54069767442,397367.606706566,392790.312783858,51.9569773782098,48.0430226217902,98.8480958574742,55.8502975748772,68.9138933127737,3.91395475641953,"Democrat"
"10",722396,583611,187701.82,209083.06,1229.46,4174.65,402188.99,396784.88,47.3056886643463,52.6943113356537,98.6563257238842,55.6743102121274,68.9138809926475,-5.38862267130736,"Republian"
"11",716609,555900.35977159,198003.121182333,149683.876324511,1292.55395047013,3026.1182928147,352005.669750129,347686.997506844,56.9486700975741,43.0513299024259,98.7731242379276,49.1210227264978,63.3217200821316,13.8973401951483,"Democrat"
"12",729562,563211.559175128,219427.587324237,117241.130208727,1201.77579028006,3186.31048368356,341056.803806927,336668.717532964,65.1761140542416,34.8238859457585,98.713385505,46.7481590059415,60.5557180513898,30.3522281084831,"Democrat"
"13",715084,552988.982984293,154259.639620419,198516.34604712,1231.79846858639,4810.7312565445,358818.51539267,352775.985667539,43.7273640745476,56.2726359254524,98.3159927746431,50.178512649237,64.8871001834881,-12.5452718509048,"Republian"
"14",726021,541705,97486.7199999999,240501.67,1112.77,4546.25,343647.41,337988.39,28.8432155909261,71.1567844090739,98.3532481737604,47.3329848585647,63.4381093030339,-42.3135688181479,"Republian"
"15",718965,558484,140547.2,209526.05,1167.34,4771.62,356012.21,350073.25,40.1479404667452,59.8520595332548,98.3318100241562,49.5173214273296,63.7461789415632,-19.7041190665097,"Republian"
"16",733586,571910,159394.36,205301.57,1126.51,4184.57,370007.01,364695.93,43.7060978443055,56.2939021556945,98.5646001679806,50.4381231375735,64.6967197635991,-12.5878043113889,"Republian"
