"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg"
"1",864055.616234556,18251061350.8775,0.307195319371064,0.554252035964744
"10",154162.67883757,603517580.251226,0.319110645791016,0.564898792520409
"11",493244.473808224,3624119752.22512,0.187192285707296,0.432657238131174
"12",396565.667529001,4894565414.06114,0.391105367074233,0.625384175586681
"13",617809.754990098,7555192006.12359,0.248740124386633,0.498738533087863
"14",476574.357627826,8208508606.31149,0.454164076683061,0.673916965718375
"15",989336.644891939,14975818786.5542,0.192270320014829,0.438486396613201
"16",641277.970133443,12471284249.9256,0.381090743671694,0.617325476285966
"2",875326.921868954,16107316036.0015,0.264175459774907,0.513980018847919
"3",329982.395849705,2716257056.82364,0.313472313276585,0.559885982389794
"4",309873.369234872,1930992166.7504,0.252709674053463,0.502702371243127
"5",321725.513611241,2494706227.98482,0.302871403125601,0.550337535632089
"6",521676.606911479,4598250868.31646,0.212324348719233,0.460786662913796
"7",937445.688249756,13214994836.8253,0.188966417676101,0.434702677327965
"8",204263.817979647,971557340.742146,0.292614208959411,0.540938267235191
"9",485540.451256429,3345868893.20882,0.178347878673032,0.422312536722547
