"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",712453,565682.440858845,240431.759855016,107307.349062526,1221.02454194534,2795.82856903382,351755.962028521,347739.108917542,69.141420590696,30.858579409304,98.8580568506033,49.3725146821645,62.1825845423926,38.2828411813921,"Democrat"
"2",720902,565073,187112.98,192279.86,1155.28,3503.79,384051.91,379392.84,49.3190593686481,50.6809406313519,98.7868645152683,53.2738028192459,67.9650080609054,-1.36188126270389,"Republian"
"3",719330,560619,158833.28,195316.66,1236.13,3564.37,358950.44,354149.94,44.8491619114774,55.1508380885226,98.6626287461857,49.9006631170673,64.0275195810345,-10.3016761770453,"Republian"
"4",725640,577381.38658147,205543.526255591,161468.586715655,1170.3449201278,3151.16946964856,371333.627361022,367012.112971246,56.0045619725076,43.9954380274924,98.83621787219,51.1732577257349,64.3134046214402,12.0091239450152,"Democrat"
"5",705063,540491,178965.34,146015.55,1270.78,4195.12,330446.79,324980.89,55.0694965479355,44.9305034520645,98.3459061593547,46.8676969292106,61.1382594714805,10.1389930958709,"Democrat"
"6",730794,572564.172559686,161093.033889393,220075.294221819,1206.94053792686,4477.85196131762,386853.120610456,381168.328111212,42.2629641575024,57.7370358424976,98.5305036468948,52.936001200127,67.5650240008913,-15.4740716849952,"Republian"
"7",717456,537045,100231.19,220965.68,1185.91,3480.39,325863.17,321196.87,31.205531361498,68.794468638502,98.568018595044,45.4192549787025,60.6770698917223,-37.588937277004,"Republian"
"8",731593,590305,139457.35,240445.66,1177.98,4859.57,385940.56,379903.01,36.7086720371076,63.2913279628924,98.4356269784135,52.7534517142728,65.3798561760446,-26.5826559257848,"Republian"
"9",710286,621188,240575.89,196712.78,1219.96,5879.14,444387.77,437288.67,55.0153494715516,44.9846505284484,98.4024987906395,62.5646246723151,71.5383700264654,10.0306989431032,"Democrat"
"10",719256,574865,153062.67,247646.4,990.31,5135.08,406834.46,400709.07,38.1979549402263,61.8020450597737,98.4943777869751,56.5632347870577,70.7704347977351,-23.6040901195474,"Republian"
"11",713356,539013,99132.86,227973.18,975.29,3528.45,331609.78,327106.04,30.3060316464961,69.693968353504,98.6418554965418,46.4858752151801,61.5216664533137,-39.3879367070079,"Republian"
"12",728358,624159,235156.16,122209.78,1418.67,4314.56,363099.17,357365.94,65.8026223763798,34.1973776236202,98.421029164016,49.851744609107,58.1741463313034,31.6052447527596,"Democrat"
"13",713021,568208,205199.3,151782.79,1258.43,4282.75,362523.27,356982.09,57.4816792629569,42.5183207370431,98.4714967400575,50.8432809131849,63.8011555627517,14.9633585259137,"Democrat"
"14",735344,574965,123799.26,250853.22,993.17,4193.57,379839.22,374652.48,33.0437583117026,66.9562416882974,98.6344906668669,51.6546296699232,66.0630160096702,-33.9124833765947,"Republian"
"15",726324,543197,90378.62,260025.3,1138.52,4770.29,356312.73,350403.92,25.7926966113849,74.2073033886151,98.3416786708687,49.0569952252714,65.5954892976213,-48.4146067772301,"Republian"
"16",727328,585709,160163.97,213745.98,1186.7,5436.76,380533.41,373909.95,42.8349045004018,57.1650954995982,98.2594274705078,52.3193676030622,64.9697050924606,-14.3301909991965,"Republian"
