"Geography","Population","district"
"39001770100",4864,5
"39001770200",4815,5
"39001770300",6964,5
"39001770400",4948,5
"39001770500",3442,5
"39001770600",3517,5
"39003010100",4405,15
"39003010200",4110,16
"39003010300",1676,16
"39003010600",5138,16
"39003010800",7994,16
"39003010900",4515,16
"39003011000",5445,16
"39003011200",4218,16
"39003011300",7559,16
"39003011400",3056,16
"39003011500",2783,16
"39003011600",2693,16
"39003011800",2346,16
"39003011900",3208,16
"39003012000",2410,16
"39003012100",3455,16
"39003012200",3291,16
"39003012300",4052,16
"39003012400",2710,16
"39003012600",1834,16
"39003012700",1648,16
"39003012900",1741,16
"39003013000",3993,16
"39003013100",2313,16
"39003013200",1774,16
"39003013300",1290,16
"39003013400",2549,16
"39003013600",1375,16
"39003013700",1156,16
"39003013800",2728,16
"39003013900",3406,16
"39003014000",3309,16
"39003014100",2151,16
"39005970100",8353,1
"39005970200",5845,11
"39005970300",3895,11
"39005970400",3837,11
"39005970500",3083,11
"39005970600",5371,11
"39005970700",5288,11
"39005970800",4071,11
"39005970900",4943,3
"39005971000",4779,11
"39005971100",3674,3
"39007000101",4554,10
"39007000102",3483,10
"39007000103",3721,10
"39007000200",4688,10
"39007000300",2214,10
"39007000400",1794,10
"39007000500",4265,10
"39007000601",2746,10
"39007000602",3428,10
"39007000603",4101,10
"39007000701",3292,10
"39007000702",2971,10
"39007000703",3873,10
"39007000704",4041,10
"39007000801",1736,10
"39007000802",5187,10
"39007000900",4780,10
"39007001001",5564,10
"39007001002",3465,10
"39007001101",1973,10
"39007001102",6060,10
"39007001200",7482,10
"39007001301",3927,10
"39007001302",3896,10
"39007001400",8256,10
"39007990000",0,10
"39009972600",4483,5
"39009972700",3981,5
"39009972800",4500,5
"39009972900",5391,5
"39009973000",3614,5
"39009973101",4527,5
"39009973200",4830,5
"39009973300",3721,5
"39009973400",3347,5
"39009973500",3428,4
"39009973600",3972,4
"39009973700",4140,5
"39009973800",4867,5
"39009973901",6462,5
"39009973902",3494,5
"39011040100",4025,16
"39011040200",4142,16
"39011040300",3645,16
"39011040400",6712,16
"39011040500",5021,16
"39011040600",3851,16
"39011040900",3748,16
"39011041000",3649,16
"39011041100",3992,16
"39011041201",1893,16
"39011041202",5271,16
"39013010100",4264,4
"39013010200",3905,4
"39013010300",3425,4
"39013010600",3712,4
"39013010700",2695,4
"39013010802",2323,4
"39013010900",6798,4
"39013011000",5009,4
"39013011200",3491,4
"39013011300",4019,4
"39013011400",4499,4
"39013011500",1640,4
"39013011600",1250,4
"39013011700",1406,4
"39013011900",3071,4
"39013012000",2643,4
"39013012100",1277,4
"39013012200",6288,4
"39013012300",4104,4
"39013012400",4581,4
"39015951201",4427,5
"39015951202",5041,5
"39015951300",7777,5
"39015951400",4393,5
"39015951500",5423,5
"39015951600",3699,5
"39015951700",2673,5
"39015951800",5270,5
"39015951900",6143,5
"39017000100",4639,14
"39017000200",4226,16
"39017000300",3349,16
"39017000400",4944,14
"39017000500",4575,14
"39017000600",5017,14
"39017001001",5464,16
"39017001002",5087,16
"39017001100",4550,16
"39017001300",4256,16
"39017010101",6819,16
"39017010102",2749,16
"39017010103",5308,16
"39017010104",5265,16
"39017010201",1950,16
"39017010202",4194,16
"39017010203",5515,16
"39017010301",4449,14
"39017010302",3550,16
"39017010500",2377,14
"39017010600",3427,14
"39017010800",6568,16
"39017010901",4349,16
"39017010903",5328,7
"39017010904",3604,14
"39017010906",7155,7
"39017010907",2611,7
"39017010908",5300,7
"39017010909",4716,7
"39017010910",4780,7
"39017010911",4226,16
"39017011002",12210,14
"39017011003",6422,7
"39017011004",6001,7
"39017011109",4389,7
"39017011110",5250,7
"39017011111",6730,7
"39017011112",5537,7
"39017011116",8529,7
"39017011117",11039,7
"39017011118",3014,7
"39017011120",7393,7
"39017011121",7593,7
"39017011122",5068,7
"39017011123",5075,7
"39017011125",3623,7
"39017011126",4811,7
"39017011127",4600,7
"39017011128",3138,7
"39017011129",4246,7
"39017011130",5167,7
"39017011131",3122,7
"39017011200",7802,7
"39017011300",5044,7
"39017011800",5845,14
"39017012100",3245,14
"39017012200",3226,14
"39017012300",2028,7
"39017012400",2322,7
"39017012500",4812,7
"39017012600",2467,7
"39017012700",2983,7
"39017013000",1715,7
"39017013100",2105,7
"39017013200",3327,7
"39017013300",2134,7
"39017013400",2180,7
"39017013500",2876,7
"39017013600",5064,7
"39017013900",2832,7
"39017014000",2687,7
"39017014100",2276,7
"39017014300",4574,14
"39017014400",1882,7
"39017014600",1037,14
"39017014700",4202,16
"39017014800",6773,16
"39017014900",4941,16
"39017015000",7629,16
"39017015100",6818,14
"39019720100",3517,4
"39019720200",3626,4
"39019720300",5274,4
"39019720400",4318,4
"39019720500",5397,4
"39019720600",3451,4
"39019720700",3253,4
"39021010100",1809,13
"39021010200",7260,13
"39021010400",4150,13
"39021010500",4070,13
"39021010600",4130,13
"39021011001",2702,13
"39021011501",4473,13
"39021011504",5194,13
"39021011505",3313,13
"39021011506",2996,13
"39023000200",1559,13
"39023000300",1635,13
"39023000400",2229,13
"39023000500",1880,13
"39023000600",2768,13
"39023000700",2577,13
"39023000901",2475,13
"39023000902",1244,13
"39023001000",1501,13
"39023001101",1452,13
"39023001102",2841,13
"39023001200",4245,13
"39023001300",4124,13
"39023001400",3566,13
"39023001500",4353,13
"39023001600",3885,13
"39023001700",2665,13
"39023001900",2865,13
"39023002000",2205,13
"39023002100",1749,13
"39023002200",4358,13
"39023002301",3238,13
"39023002403",3998,13
"39023002404",3112,13
"39023002501",2078,13
"39023002502",3174,13
"39023002601",3818,13
"39023002602",4067,13
"39023002605",3858,13
"39023002606",7726,13
"39023002701",3173,13
"39023002702",2681,13
"39023002800",4649,13
"39023002901",3743,13
"39023002902",4477,13
"39023003001",3145,13
"39023003002",3574,13
"39023003101",2517,13
"39023003102",1878,13
"39023003200",2798,13
"39023003301",3577,13
"39023003302",2543,13
"39023003400",3700,13
"39023003700",4633,13
"39025040101",5176,5
"39025040102",2689,7
"39025040202",2177,7
"39025040203",6195,7
"39025040204",7181,7
"39025040301",3839,7
"39025040302",3459,7
"39025040303",7207,7
"39025040401",3595,8
"39025040403",2719,7
"39025040404",3758,7
"39025040405",2582,7
"39025040500",5109,8
"39025040600",6817,7
"39025040701",6313,7
"39025040702",4019,7
"39025040800",5890,7
"39025040900",5746,5
"39025041000",7507,8
"39025041101",2782,8
"39025041102",4656,8
"39025041103",8335,8
"39025041200",8350,8
"39025041303",5028,8
"39025041304",37,8
"39025041305",4466,8
"39025041306",4286,8
"39025041307",4840,8
"39025041403",4342,8
"39025041404",4742,8
"39025041405",5472,8
"39025041406",4857,8
"39025041501",6269,8
"39025041502",8080,8
"39025041600",5192,8
"39025041701",4522,8
"39025041702",3306,8
"39025041800",3692,8
"39025041900",5665,8
"39025042000",6466,8
"39027964300",3712,6
"39027964400",5087,5
"39027964500",6300,5
"39027964600",2976,5
"39027964700",5569,5
"39027964800",4942,5
"39027964900",4984,5
"39027965000",4156,5
"39027965100",4314,5
"39029950100",5712,10
"39029950200",4741,10
"39029950300",5100,10
"39029950400",4443,4
"39029950500",6097,4
"39029950600",4951,10
"39029950700",5488,1
"39029950800",4531,1
"39029950900",3999,1
"39029951000",5894,4
"39029951100",4845,4
"39029951200",4567,4
"39029951300",3991,4
"39029951400",7652,4
"39029951500",4654,10
"39029951600",5562,4
"39029951700",5108,4
"39029951800",3279,4
"39029951900",3665,4
"39029952000",2827,4
"39029952100",1521,4
"39029952200",2085,4
"39029952300",3039,4
"39029952400",4090,4
"39031960900",4652,4
"39031961000",4690,4
"39031961100",4373,4
"39031961200",3218,4
"39031961300",3944,4
"39031961400",3348,4
"39031961500",2499,4
"39031961600",2324,4
"39031961700",2863,4
"39031961800",4990,4
"39033974100",3666,15
"39033974200",4345,15
"39033974300",2765,15
"39033974400",3458,15
"39033974500",4102,15
"39033974600",2789,15
"39033974700",4026,15
"39033974800",2221,15
"39033974900",3397,15
"39033975000",3748,15
"39033975100",3052,15
"39033975200",2691,15
"39033975300",3524,15
"39035101101",1783,12
"39035101102",4221,9
"39035101200",2562,9
"39035101300",1629,12
"39035101400",2195,12
"39035101501",2194,12
"39035101603",2471,12
"39035101700",2752,12
"39035101800",2942,12
"39035101901",1692,12
"39035102101",3152,12
"39035102102",2512,12
"39035102200",2750,12
"39035102300",2283,12
"39035102401",2114,12
"39035102402",3250,12
"39035102700",4553,12
"39035102800",2048,12
"39035102900",1961,12
"39035103100",1054,12
"39035103300",2222,12
"39035103400",2770,12
"39035103500",1981,12
"39035103602",3254,9
"39035103800",1993,12
"39035103900",2042,12
"39035104100",1095,12
"39035104200",1143,12
"39035104300",1603,12
"39035104400",1498,12
"39035104600",1190,12
"39035104800",2124,12
"39035104900",2493,12
"39035105100",3790,12
"39035105300",3434,12
"39035105400",3646,12
"39035105500",1854,12
"39035105602",2163,12
"39035105700",4165,12
"39035105900",2968,12
"39035106100",3503,12
"39035106200",3663,12
"39035106300",2764,12
"39035106400",1115,12
"39035106500",2520,12
"39035106600",3222,12
"39035106800",2942,12
"39035106900",3501,12
"39035107000",1646,12
"39035107101",4193,9
"39035107701",1944,12
"39035107802",3334,12
"39035108201",1354,9
"39035108301",1647,12
"39035108400",1237,12
"39035108701",4393,12
"39035109301",1873,12
"39035109701",2212,12
"39035109801",1884,12
"39035110501",851,12
"39035110801",1323,12
"39035110901",3102,12
"39035111202",1444,9
"39035111401",1253,12
"39035111500",1179,12
"39035111600",1130,12
"39035111700",1404,12
"39035111800",878,12
"39035111902",841,12
"39035112100",1762,12
"39035112200",1341,12
"39035112301",1427,12
"39035112400",1189,12
"39035112500",1274,12
"39035112600",1048,12
"39035112800",1015,12
"39035113101",956,9
"39035113500",1221,9
"39035113600",1107,9
"39035113801",2009,12
"39035114100",1121,9
"39035114300",1927,9
"39035114501",1369,9
"39035114600",1284,9
"39035114700",240,12
"39035114900",2199,9
"39035115100",1331,12
"39035115200",950,12
"39035115300",937,9
"39035115400",2275,12
"39035115700",1416,9
"39035115800",3226,9
"39035115900",3671,9
"39035116100",954,12
"39035116200",1146,12
"39035116300",1695,12
"39035116400",2990,12
"39035116500",2593,12
"39035116600",2629,12
"39035116700",1708,12
"39035116800",2808,12
"39035116900",1593,12
"39035117101",2416,9
"39035117102",1213,12
"39035117201",3352,9
"39035117202",1837,12
"39035117300",2580,12
"39035117400",1546,12
"39035117500",2761,12
"39035117600",3044,9
"39035117700",4899,9
"39035117800",2069,9
"39035117900",2541,9
"39035118101",2086,12
"39035118200",2101,12
"39035118301",2486,12
"39035118400",1772,12
"39035118500",994,12
"39035118602",2024,12
"39035118700",3679,9
"39035118800",3081,9
"39035118900",1385,12
"39035119100",127,9
"39035119202",1019,9
"39035119300",3572,9
"39035119401",2133,9
"39035119402",1776,9
"39035119501",2536,9
"39035119502",1772,9
"39035119600",2721,9
"39035119701",2026,9
"39035119702",2227,9
"39035119800",3407,9
"39035119900",2267,9
"39035120200",2296,9
"39035120400",2444,9
"39035120500",2382,9
"39035120600",2892,9
"39035120701",1649,9
"39035120702",2031,9
"39035120801",2292,9
"39035120802",2200,9
"39035121100",2285,9
"39035121200",1764,9
"39035121300",2276,9
"39035121401",1742,9
"39035121403",2833,9
