"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",901492.152883739,15578796479.4154,0.240890607200787,0.490806079017759,0.344233410125412
"2",352688.98354954,2632077461.04714,0.265903920973067,0.515658725295197,0.300683385544147
"3",537785.177391738,3696763526.4297,0.160625273025722,0.400780829164422,0.341016736317553
"4",194903.38609333,1013482059.53202,0.335264184164579,0.579020020521379,0.34701015304467
"5",279837.161877324,1367831408.69579,0.219498552671062,0.468506726388279,0.411655912240956
"6",469422.591816682,5858393610.60084,0.33408766221734,0.578003167999398,0.574147821121923
"7",1237637.27866428,22949729412.7219,0.188278473705662,0.433910674800312,0.292869253686836
"8",561852.40215529,6852453520.36283,0.27277934264641,0.522282818639872,0.354083788962198
"9",999894.684815756,8890094351.99355,0.111739754970199,0.334274969105075,0.194569258136325
"10",981664.44015745,11641647091.7466,0.151809229165548,0.389627038545259,0.168772332457895
"11",688865.067022987,11548684693.8651,0.305825760655718,0.553015154092289,0.518470187554594
"12",423501.268561082,2883787958.19122,0.202052280672073,0.44950225880642,0.232735628382705
"13",442254.708298554,4646768827.36411,0.298549261305965,0.54639661538663,0.308723383787076
"14",180865.668491124,1142479854.9918,0.438880352681768,0.662480454565845,0.650983303334774
"15",193746.26425252,646010440.320365,0.216263250419183,0.465041127664192,0.214328156195237
"16",471525.278229669,5426875214.68666,0.306725398634783,0.55382795039144,0.514373614801858
