"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",724146,559307,120763.78,219990.73,1154.98,3772.19,345681.68,340754.51,35.4401120032131,64.5598879967869,98.5746511067639,47.7364619841855,61.805355556072,-29.1197759935738,"Republican"
"2",721589,569675,192600.83,168513.09,1224.82,3979.87,366318.61,361113.92,53.3351995957397,46.6648004042602,98.5791903938487,50.7655479781427,64.3030868477641,6.6703991914795,"Democrat"
"3",718681,541206,144338.66,193241.06,1276.69,3382.78,342239.19,337579.72,42.7569108713047,57.2430891286953,98.6385340615141,47.6204588683992,63.2363998181839,-14.4861782573907,"Republican"
"4",719918,574076.166666667,234069.031295379,162438.234059406,1131.92479372937,3090.04882013201,400729.238968647,396507.265354785,59.032721906354,40.967278093646,98.9464273620943,55.6631781631584,69.8041936308649,18.0654438127079,"Democrat"
"5",723038,593828,153304.87,252225.97,1069.09,5171.45,411771.38,405530.84,37.803504660706,62.196495339294,98.484464850374,56.9501713602881,69.3418599325057,-24.3929906785881,"Republican"
"6",720108,607542,217747.46,161484.65,1425.32,4536.87,385194.3,379232.11,57.4179913193532,42.5820086806468,98.4521603772434,53.491184655635,63.4020857817237,14.8359826387064,"Democrat"
"7",721386,578529.839977541,147180.660881527,256818.911813588,986.200505334082,5188.57316676025,410174.346367209,403999.572695115,36.4308951862678,63.5691048137322,98.4945977907243,56.8592052475664,70.8994278295365,-27.1382096274644,"Republican"
"8",722443,535069,94484.7899999999,224413.38,1033.98,3211.55,323143.7,318898.17,29.6285143310794,70.3714856689206,98.6861789352539,44.7293004430799,60.3929025976089,-40.7429713378412,"Republican"
"9",721182,563309,146638.72,205453,1192.73,5080.35,358364.8,352091.72,41.6478751616198,58.3521248383802,98.2495267392333,49.6913123178338,63.6178012423022,-16.7042496767604,"Republican"
"10",719450,639741,253753.13,153326.72,1192.94,5286.98,413559.77,407079.85,62.3349767864953,37.6650232135047,98.4331357955828,57.4827673917576,64.6448750353659,24.6699535729906,"Democrat"
"11",718726,573404.160022459,207506.629118473,144617.398186412,1267.34949466592,4245.80683323976,357637.183632791,352124.027304885,58.9299829116188,41.0700170883811,98.4584499095132,49.7598784005018,62.370873559547,17.8599658232377,"Democrat"
"12",725045,555038,105940.92,256668.47,1040.75,4215.9,367866.04,362609.39,29.2162649180155,70.7837350819845,98.5710423283432,50.736994255529,66.2776314414509,-41.567470163969,"Republican"
"13",717445,550423,111939.41,242895.97,1144.2,4821.2,360800.78,354835.38,31.5468570242347,68.4531429757653,98.3466221996527,50.2896779544077,65.5497281181927,-36.9062859515306,"Republican"
"14",723053,556350,171400.92,174314.49,1273.98,4711.69,351701.08,345715.41,49.5786172794554,50.4213827205446,98.2980802902283,48.6411203604715,63.2157958119889,-0.842765441089227,"Republican"
"15",722282,564676.833333333,190843.59870462,139746.405940594,1189.24520627063,2861.23117986799,334640.481031353,330590.004645215,57.7281817426488,42.2718182573512,98.7896035848218,46.3310010537924,59.2623003596487,15.4563634852975,"Democrat"
"16",718012,578290,186623.78,198675.59,1201.24,4012.2,390512.81,385299.37,48.4360459764053,51.5639540235947,98.6649759325437,54.3880617594135,67.5288886198966,-3.12790804718934,"Republican"
