"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",724263,584251,158617.31,241352.72,981.15,4985.54,405936.72,399970.03,39.6572988231143,60.3427011768857,98.5301428262021,56.0482476669387,69.4798502698327,-20.6854023537713,"Republican"
"2",718008,577057,148497.78,215025.29,1168.37,5271.76,369963.2,363523.07,40.8496165043941,59.1503834956059,98.2592511903887,51.5263339684237,64.1120721176591,-18.3007669912119,"Republican"
"3",720141,579604,205873.68,167812.83,1197.32,4622.9,379506.73,373686.51,55.0926176061319,44.9073823938681,98.4663723881787,52.6989478449359,65.4768997453434,10.1852352122639,"Democrat"
"4",719565,538945,91494.46,231331.32,905.949999999999,3330.37,327062.1,322825.78,28.3417451976729,71.6582548023271,98.7047352781016,45.4527527047591,60.685617270779,-43.3165096046543,"Republican"
"5",721054,570661,127624.31,260000.57,1137.85,5026.13,393788.86,387624.88,32.9246951330884,67.0753048669116,98.4346992446663,54.6129499316279,69.0057424635642,-34.1506097338231,"Republican"
"6",717148,561292,146316.27,217408.68,1134.99,4358.05,369217.99,363724.95,40.2271744074747,59.7728255925254,98.5122501750253,51.4842110694027,65.7800200252275,-19.5456511850507,"Republican"
"7",721409,559301,183243.94,168647.84,1281.33,4574.67,357747.78,351891.78,52.0739472800416,47.9260527199584,98.3630925676185,49.5901465049646,63.9633721377219,4.14789456008317,"Democrat"
"8",723744,556377,113490.76,246513.41,1161.55,5110.6,366276.32,360004.17,31.5248459483122,68.4751540516878,98.28759063649,50.6085466684352,65.8323978165884,-36.9503081033756,"Republican"
"9",725546,567189,142953.66,209627.91,1155.75,3833.16,357570.48,352581.57,40.5448475369828,59.4551524630172,98.6047757633684,49.2829510465222,63.042562532066,-18.9103049260345,"Republican"
"10",719871,555481.761281577,225604.649723436,89766.3206538105,1239.69580372691,2450.92971770976,319061.595898683,315370.970377246,71.5362766121333,28.4637233878667,98.8432874501735,44.3220515757244,57.438716828895,43.0725532242666,"Democrat"
"11",721404,637825.906656266,261161.483468539,129990.98074623,1288.23164326573,4968.45774310972,397409.153601144,391152.464214768,66.7671834799292,33.2328165200709,98.425630278095,55.0882936054061,62.3068378775203,33.5343669598583,"Democrat"
"12",718145,586791.093343734,183024.176531461,191614.15925377,1369.01835673427,4258.32225689028,380265.676398856,374638.335785231,48.8535633033517,51.1464366966483,98.5201555220771,52.9510999030636,64.8042686251378,-2.2928733932966,"Republican"
"13",722362,569686,160653.42,189413.53,1239.7,4099.73,355406.38,350066.95,45.8921986208638,54.1078013791362,98.4976549942632,49.2005919469739,62.3863637161524,-8.2156027582724,"Republican"
"14",724436,583157.238718423,205465.700276564,190313.81934619,1168.11419627309,3713.99028229024,400661.624101317,395779.519622754,51.9141820355961,48.0858179644039,98.7814893703598,55.3066970859147,68.7055904479265,3.82836407119218,"Democrat"
"15",719117,570725,187010.28,201672.67,1163.95,3651.82,393498.72,388682.95,48.1138367402017,51.8861632597983,98.7761662858776,54.7197076414547,68.9471671996145,-3.77232651959653,"Republican"
"16",720291,542121,138105.31,204332.02,1212.47,3312.26,346962.06,342437.33,40.3300977729268,59.6699022270732,98.6959006411249,48.1697064103258,64.0008522082709,-19.3398044541465,"Republican"
