"District","Population","White %","Black %","Asian %","NHPI %","AIAN %","Two or More Races %","Other %","Non-White %","White % Minus Non-White %","Race Score","Diversity Index","Population Target Ratio"
"1",716963,90.5992359438353,4.22016198883345,2.38533927134315,0.0198057640352431,0.154540750359503,1.63885723531061,0.982059046282723,9.40076405616469,81.1984718876706,4,0.181895262516459,99.4357389378966
"2",721890,49.6685090526257,43.1669644959758,2.19257781656485,0.0218869910928258,0.235077366357755,2.3401072185513,2.37487705883168,50.3314909473743,-0.662981894748512,0,0.94124053130152,100.119065533198
"3",722991,81.7873251534251,13.8979600022684,1.3210399576205,0.0268329757908466,0.211482577238168,2.15120243543834,0.60415689821865,18.2126748465749,63.5746503068503,3,0.351077000540716,100.271763438907
"4",718538,85.4210911601057,10.3579768919667,1.68272241690767,0.0155872062437895,0.137223083539075,1.55398879391208,0.831410447324985,14.5789088398943,70.8421823202113,4,0.281648162268298,99.6541759964717
"5",722486,91.24522828124,5.50654268733235,0.671293284575756,0.0193775381114651,0.298137264943542,1.86633374210711,0.393087201689721,8.75477171875995,82.4904565624801,4,0.170880794344851,100.201724889967
"6",723538,90.2223518322465,6.71616418211621,0.443929689940266,0.0255688021914537,0.212290163059853,1.83915703114418,0.540538299301488,9.77764816775345,80.4447036644931,4,0.190895156586427,100.347626976075
"7",716534,91.0431326357158,5.24078410794184,1.11048463855169,0.0279121437363754,0.210038881616225,1.87862683417675,0.489020758261297,8.95686736428418,82.0862652714316,4,0.174366026957763,99.3762408438466
"8",722701,90.7267320786881,5.11774578975261,0.668187812110402,0.0401272448772037,0.225266050552026,2.01106681739751,1.2108742066221,9.27326792131186,81.4534641573763,4,0.180086084432034,100.23154328209
"9",721621,72.206601526286,20.8369767509538,2.39724176541425,0.0429588385038684,0.236827919364874,2.68575886788217,1.59363433159512,27.793398473714,44.4132030525719,1,0.523594396823023,100.081757870495
"10",724545,77.8103499437578,12.2943364456314,4.59129522665949,0.0684567556190437,0.245533403722336,2.69686492902442,2.29316329558551,22.1896500562422,55.6206998875156,2,0.413037679345203,100.487288003367
"11",718868,93.096229071262,2.97523328344008,0.649354262534986,0.0193359559752277,0.215894990457219,1.68960087248285,1.3543515638476,6.90377092873796,86.1924581425241,5,0.134710181055315,99.6999437611256
"12",721524,80.7249654897134,13.1207000737328,1.2667631291544,0.0223138800649736,0.281348922558363,2.81113310160161,1.77277540317439,19.2750345102866,61.4499309794269,3,0.36683622630053,100.068304921491
"13",719220,92.5371930702706,3.51630933511304,1.22132310002503,0.0399043408136592,0.232195990100387,1.87953616417786,0.573537999499458,7.46280692972942,85.0743861405412,5,0.145464106949388,99.7487627100896
"14",722662,80.9861318292646,14.8467748407969,1.37380960947165,0.0341791875039783,0.205628634133246,1.89881299971494,0.654662899114662,19.0138681707354,61.9722636585292,3,0.366763805302077,100.226134364449
"15",722201,82.1830764565543,12.4689663957818,1.64940231320643,0.057878623818023,0.196344231038174,2.01772082841203,1.42661115118921,17.8169235434457,64.3661529131087,3,0.341028591281635,100.162198184129
"16",720222,72.9375109341286,20.8062236366009,3.02906603797163,0.0815026477947077,0.208963347412326,2.00702005770443,0.929713338387331,27.0624890658714,45.8750218682573,2,0.512713648657827,99.8877302864022
"Ohio Total",11536504,82.6891491564515,12.2019721052409,1.66630202702656,0.0352446460383492,0.219234527201655,2.06097965206791,1.12711788597308,17.3108508435485,65.3782983129031,3,0.331973663530257,NA
