"Geography","District"
"39133601701","16"
"39153505200","11"
"39139001000","7"
"39049008380","3"
"39151711800","7"
"39061024303","2"
"39049007044","12"
"39153530800","14"
"39061021604","2"
"39035177405","9"
"39139001500","12"
"39153503800","11"
"39093023800","9"
"39139000900","7"
"39049009600","15"
"39035101400","11"
"39061021504","1"
"39103408201","7"
"39157021500","7"
"39061027300","2"
"39049008141","15"
"39103408302","16"
"39153507101","11"
"39049009440","15"
"39103408100","16"
"39049006396","15"
"39077915900","7"
"39141955700","15"
"39049006921","3"
"39151713300","7"
"39153520301","14"
"39119912700","12"
"39049007393","12"
"39061001100","1"
"39049007425","12"
"39153531001","16"
"39049008811","3"
"39151712201","7"
"39035102700","11"
"39151713402","7"
"39049009590","3"
"39049007492","3"
"39049007953","15"
"39035105300","11"
"39049008370","15"
"39141956300","15"
"39093023900","4"
"39123050800","9"
"39101010100","4"
"39047926000","10"
"39035134206","9"
"39153507102","11"
"39049009520","3"
"39049008161","3"
"39049006386","12"
"39049008400","15"
"39157021200","7"
"39139002000","7"
"39107967500","5"
"39049007043","12"
"39035990000","11"
"39151710600","13"
"39103408202","16"
"39153506400","13"
"39151713501","7"
"39049005810","15"
"39119911900","6"
"39145002400","2"
"39141955602","2"
"39153505600","11"
"39035177101","16"
"39049004300","3"
"39049006722","12"
"39049006371","15"
"39153504600","11"
"39035101603","11"
"39153531101","16"
"39151702500","7"
"39049001901","15"
"39047926300","15"
"39145002500","6"
"39035177404","16"
"39153502500","13"
"39095007203","5"
"39151711412","16"
"39049008330","3"
"39061024321","1"
"39047926200","10"
"39145003100","2"
"39153507201","11"
"39093050300","4"
"39061021509","2"
"39049001820","3"
"39153503400","11"
"39035177608","16"
"39049008825","15"
"39049000500","12"
"39153506100","11"
"39049001122","3"
"39061004100","2"
"39035107000","11"
"39153502300","11"
"39035134205","16"
"39061011100","1"
"39153504500","13"
"39153532600","13"
"39141956700","2"
"39061004000","2"
"39145003000","6"
"39153531103","16"
"39049008822","3"
"39151712112","7"
"39095007301","9"
"39095006300","5"
"39049008241","3"
"39061021603","2"
"39153504200","11"
"39153502200","13"
"39049007194","12"
"39049008340","3"
"39153520105","13"
"39151711600","7"
"39095004501","9"
"39095007202","5"
"39155930102","13"
"39107968000","8"
"39049010000","12"
"39049005100","3"
"39049001300","3"
"39153501700","13"
"39093092100","4"
"39153508900","13"
"39153509000","11"
"39153504400","11"
"39061001900","2"
"39049007394","12"
"39009973700","15"
"39153507500","13"
"39153531002","13"
"39103416000","16"
"39139001700","12"
"39093024100","9"
"39119912800","6"
"39009973600","6"
"39103408301","7"
"39049009495","3"
"39095007205","5"
"39049007198","3"
"39107967600","4"
"39095005801","5"
"39153532902","14"
"39141956000","2"
"39061024322","1"
"39049006220","12"
"39153507400","11"
"39103416100","7"
"39049009450","15"
"39153505900","13"
"39153508399","11"
"39153504100","13"
"39077915400","4"
"39049000600","12"
"39035181100","9"
"39093095100","7"
"39049001902","15"
"39049007424","3"
"39153532901","13"
"39049007941","3"
"39107967900","8"
"39093023700","9"
"39049005200","15"
"39153503100","13"
"39049007210","12"
"39049007396","3"
"39095006400","5"
"39049001200","12"
"39049008162","15"
"39061003700","1"
"39107967700","8"
"39061006000","2"
"39119911500","12"
"39095004504","5"
"39049009711","15"
"39093091200","7"
"39153508000","13"
"39139001600","12"
"39157021700","6"
"39153503600","13"
"39035104900","11"
"39095006500","9"
"39049009497","15"
"39047925900","10"
"39153532302","11"
"39035105500","9"
"39119911300","12"
"39151713401","16"
"39035105602","9"
"39049005700","15"
"39153502600","13"
"39049000420","12"
"39049003000","3"
"39049007010","12"
"39049007921","15"
"39093097200","9"
"39049010300","15"
"39095007204","5"
"39049004000","3"
"39101010300","4"
"39077916500","7"
"39049008813","3"
"39061024400","1"
"39153501100","11"
"39043040300","4"
"39095008400","5"
"39155930900","13"
"39061026700","1"
"39153533501","16"
"39119911200","6"
"39035102402","9"
"39153531701","16"
"39049006990","12"
"39157021800","6"
"39119911600","12"
"39035101501","11"
"39153506200","11"
"39049000410","12"
"39061021900","2"
"39035105700","9"
"39151713202","7"
"39061023521","2"
"39153505700","13"
"39049006500","15"
"39047926400","15"
"39049009740","15"
"39151711112","16"
"39049008142","3"
"39049004200","3"
"39049007114","3"
"39153503300","11"
"39049007207","12"
"39095008500","9"
"39035134203","9"
"39095006200","5"
"39049009752","15"
"39061024002","2"
"39061021572","1"
"39095008600","9"
"39061003900","1"
"39049006387","12"
"39093024000","4"
"39035181203","16"
"39093091100","7"
"39093071300","4"
"39119911100","6"
"39141955800","15"
"39139002300","7"
"39139002700","7"
"39157021600","6"
"39061008100","1"
"39151712800","7"
"39061023901","1"
"39153507203","13"
"39133601503","13"
"39035105100","9"
"39061022500","2"
"39049009720","15"
"39035160700","9"
"39061006500","1"
"39153520201","13"
"39151711700","7"
"39153507300","13"
"39049006944","3"
"39151712111","16"
"39153520106","13"
"39049006230","12"
"39049006100","3"
"39153502101","13"
"39035101800","11"
"39035105400","9"
"39049008132","3"
"39139001800","7"
"39107967800","4"
"39093070200","4"
"39049006810","12"
"39151712000","16"
"39139000800","12"
"39145002300","2"
"39145002900","6"
"39049006822","12"
"39153533400","16"
"39153532202","11"
"39153510500","13"
"39049006600","15"
"39049008821","15"
"39035123400","9"
"39049010200","3"
"39061021802","2"
"39049006710","12"
"39049007812","12"
"39049008350","3"
"39049007951","15"
"39061022302","1"
"39035135105","14"
"39103415800","7"
"39153531802","13"
"39153531702","16"
"39093071202","4"
"39049007820","3"
"39151702300","7"
"39035153107","16"
"39093077100","4"
"39093050200","4"
"39139002900","7"
"39035177503","16"
"39133601702","16"
"39035135106","14"
"39061008000","1"
"39093094100","7"
"39061024001","2"
"39151711402","16"
"39099813000","6"
"39103415400","7"
"39141956600","15"
"39061022102","2"
"39151712102","7"
"39151711111","16"
"39035123700","9"
"39049006351","15"
"39061011000","1"
"39035104800","11"
"39049009800","15"
"39061008300","1"
"39043040400","9"
"39133600103","14"
"39061023201","2"
"39049007954","3"
"39049007209","3"
"39089754700","12"
"39035173104","16"
"39133600302","14"
"39103408002","16"
"39155931500","13"
"39035192300","11"
"39061026500","1"
"39033974900","4"
"39035182104","11"
"39035182106","11"
"39153532001","16"
"39103404000","16"
"39033975300","4"
"39173022100","5"
"39035160900","9"
"39035156101","14"
"39165031904","1"
"39035190502","16"
"39161020400","5"
"39095010200","9"
"39133601902","13"
"39035196300","14"
"39061026600","2"
"39109340100","8"
"39037570102","8"
"39035153103","16"
"39035185203","11"
"39099812100","6"
"39083007400","7"
"39035176200","16"
"39135400100","8"
"39035170202","14"
"39149972300","4"
"39035182103","11"
"39035194100","14"
"39029952200","6"
"39035130103","9"
"39149972200","4"
"39175938500","5"
"39017011200","8"
"39035170201","14"
"39035177304","9"
"39017011130","8"
"39117965000","12"
"39033974800","4"
"39077916200","7"
"39035152301","11"
"39035136103","11"
"39049006950","12"
"39085200600","14"
"39035189105","16"
"39151714902","7"
"39035135103","14"
"39035172202","14"
"39151701200","7"
"39035181204","16"
"39093093100","4"
"39035124600","9"
"39061020502","1"
"39035138106","9"
"39035184104","14"
"39049007048","3"
"39165031600","1"
"39035180104","11"
"39035176100","16"
"39061025600","2"
"39145003500","2"
"39061004200","2"
"39045032702","15"
"39035186105","16"
"39035154501","11"
"39049007427","3"
"39043041700","9"
"39017014100","8"
"39143961000","4"
"39045030100","15"
"39009973800","15"
"39035131104","11"
"39035189110","16"
"39019720200","6"
"39109380100","8"
"39019720400","6"
"39155931300","13"
"39017010907","8"
"39089756201","12"
"39035152303","11"
"39083007700","7"
"39035101300","11"
"39061023001","1"
"39151713000","7"
"39089755900","12"
"39013011600","6"
"39061022301","1"
"39035196200","11"
"39153530501","14"
"39003013900","4"
"39035177505","16"
"39049007047","3"
"39017010911","8"
"39049009385","3"
"39057280200","10"
"39147962900","4"
"39035182105","11"
"39035189108","16"
"39017010203","8"
"39057280102","10"
"39095005600","9"
"39021011504","4"
"39165030900","1"
"39153532501","11"
"39035175202","16"
"39061020401","1"
"39065000400","5"
"39049007952","15"
"39061026001","1"
"39023002902","8"
"39103412000","16"
"39023002602","8"
"39103413000","16"
"39093080600","7"
"39045032701","15"
"39061020504","1"
"39143962100","4"
"39027964400","15"
"39173021100","5"
"39035196100","11"
"39095005701","9"
"39023002605","8"
"39139002500","7"
"39017011118","8"
"39003014000","4"
"39103407000","7"
"39035138108","9"
"39051040600","5"
"39029952100","6"
"39113160100","10"
"39013011700","6"
"39023003001","8"
"39095005200","9"
"39093028100","4"
"39029951000","6"
"39027964300","15"
"39079957300","6"
"39097041200","15"
"39077916300","7"
"39035154502","11"
"39041011412","12"
"39093013100","7"
"39035190504","16"
"39041011413","12"
"39153530502","14"
"39017011123","8"
"39039958300","5"
"39093090100","7"
"39025040401","2"
"39085200900","14"
"39035156102","14"
"39099812900","6"
"39119912600","12"
"39081012300","6"
"39173020100","5"
"39061010300","1"
"39089755000","12"
"39035179101","11"
"39113125000","10"
"39035192900","14"
"39165032202","1"
"39143961100","4"
"39125960300","5"
"39127965800","15"
"39159050601","4"
"39049006410","15"
"39005970900","7"
"39079957400","6"
"39089758600","12"
"39029950900","6"
"39105964600","6"
"39105964300","6"
"39165032400","1"
"39163953100","15"
"39017012100","8"
"39167020500","6"
"39035980500","9"
"39143961200","4"
"39145003900","2"
"39027964900","15"
"39035136102","11"
"39169002300","16"
"39003011500","4"
"39061026002","1"
"39139001400","12"
"39165031100","1"
"39061026101","1"
"39161020200","5"
"39151712900","7"
"39007001200","14"
"39039958200","5"
"39081011000","6"
"39105964200","6"
"39113120101","10"
"39099811902","13"
"39173021000","5"
"39023003200","8"
"39035186103","16"
"39025040301","2"
"39085201000","14"
"39019720300","6"
"39041011102","12"
"39099813600","6"
"39065000500","5"
"39049009390","3"
"39113130101","10"
"39121968500","6"
"39105964400","6"
"39101010201","4"
"39169001800","16"
"39021010200","4"
"39049001500","3"
"39133601400","13"
"39147963100","4"
"39137030500","5"
"39045030400","15"
"39103411001","7"
"39147962800","4"
"39105964500","6"
"39147962500","4"
"39003010200","4"
"39013011500","6"
"39119912500","12"
"39065000700","5"
"39157020400","7"
"39061010400","1"
"39017011111","8"
"39123050900","5"
"39095008201","5"
"39005970100","7"
"39125960200","5"
"39035160602","9"
"39097040201","15"
"39053954100","6"
"39155921600","13"
"39007001302","14"
"39013010100","6"
"39153533200","14"
"39101001000","4"
"39049007922","15"
"39095009800","9"
"39027965000","15"
"39137030700","5"
"39089754400","12"
"39025040405","2"
"39063000200","5"
"39097040102","15"
"39071954400","2"
"39093080101","7"
"39115968800","15"
"39035177605","16"
"39095005703","9"
"39013010200","6"
"39003011400","4"
"39163953200","15"
"39115969000","15"
"39105964100","6"
"39155930400","14"
"39171950100","5"
"39035177403","9"
"39087051200","6"
"39133601300","13"
"39169001700","16"
"39133602100","16"
"39165030700","1"
"39025040202","2"
"39063000100","5"
"39025041403","2"
"39031960900","7"
"39113110100","10"
"39009973500","15"
"39063001300","5"
"39049008360","3"
"39093080103","7"
"39165030600","1"
"39033974100","4"
"39003010100","4"
"39035111500","11"
"39151710900","7"
"39109350100","8"
"39017010800","8"
"39119911000","6"
"39095008000","5"
"39133601600","13"
"39135420100","8"
"39163953000","15"
"39085205702","14"
"39035103900","11"
"39035127501","11"
"39073965500","15"
"39081011900","6"
"39035194500","14"
"39099801100","13"
"39023002301","8"
"39169002000","16"
"39087050900","6"
"39071954700","2"
"39033974200","4"
"39011040500","4"
"39141955603","15"
"39053953800","6"
"39113040406","10"
"39107967300","5"
"39133602000","16"
"39085200200","14"
"39153533101","14"
"39049005620","3"
"39031961200","7"
"39049009374","3"
"39099810900","13"
"39003010600","4"
"39093010200","9"
"39071954500","2"
"39013011200","6"
"39053954000","6"
"39149971600","4"
"39167021700","6"
"39093080700","7"
"39113100400","10"
"39011040100","4"
"39173022200","5"
"39027964800","15"
"39035180102","11"
"39155932702","13"
"39057200300","10"
"39031961100","7"
"39035153104","16"
"39151700800","7"
"39049010400","12"
"39099811002","13"
"39155931400","13"
"39013011300","6"
"39049009100","3"
"39057220100","10"
"39049006310","15"
"39113050101","10"
"39111966900","6"
"39035141500","11"
"39153504700","13"
"39133601100","13"
"39145002200","6"
"39065000300","5"
"39017010910","8"
"39089758900","12"
"39013011000","6"
"39003013200","4"
"39147963000","4"
"39123050700","5"
"39113090302","10"
"39087051100","6"
"39169000900","16"
"39081001700","6"
"39113050103","10"
"39035186206","16"
"39035178101","16"
"39145002800","6"
"39049001110","3"
"39029950300","6"
"39135460100","8"
"39099802701","13"
"39153501800","11"
"39095008100","5"
"39153520302","13"
"39057260100","10"
"39155930101","14"
"39099801700","13"
"39137030300","5"
"39161020500","5"
"39095010400","9"
"39017013200","8"
"39089754101","12"
"39049001400","3"
"39175938200","5"
"39103415100","16"
"39057230100","10"
"39049003200","15"
"39035177202","9"
"39165031000","1"
"39093057100","4"
"39035132302","11"
"39049002000","15"
"39095001301","9"
"39113080400","10"
"39065000100","5"
"39107967200","5"
"39133600402","13"
"39099812400","13"
"39103409002","7"
"39145002100","6"
"39023003302","8"
"39151710700","13"
"39049009337","3"
"39049005300","3"
"39153501900","11"
"39095005000","9"
"39095004900","9"
"39095000200","9"
"39113000600","10"
"39095008202","5"
"39057270100","10"
"39017010202","8"
"39049002100","15"
"39035123501","9"
"39049004620","3"
"39157021300","7"
"39035118200","11"
"39113001000","10"
"39095007901","5"
"39099812301","13"
"39087051002","6"
"39095003600","9"
"39155932801","13"
"39153503200","11"
"39113090600","10"
"39095010001","9"
"39049005420","3"
"39035183100","11"
"39057210601","10"
"39035185104","11"
"39035123800","9"
"39095001100","9"
"39013011400","6"
"39123051100","5"
"39147963800","4"
"39093071400","4"
"39089751900","12"
"39155931200","13"
"39061002300","1"
"39119912000","12"
"39095007700","5"
"39095009700","9"
"39081012100","6"
"39035134100","9"
"39035152501","11"
"39061022700","1"
"39095009202","5"
"39165032005","1"
"39041011740","12"
"39151711322","16"
"39081011200","6"
"39097040202","15"
"39017013100","8"
"39087050400","6"
"39151712202","7"
"39035102200","9"
"39113021900","10"
"39151713700","7"
"39017011121","8"
"39049006430","15"
"39035178204","16"
"39061026102","1"
"39067975800","6"
"39103417100","16"
"39043041300","9"
"39171950200","5"
"39029950500","6"
"39095009300","5"
"39061009800","1"
"39117965500","12"
"39061021571","1"
"39035115400","11"
"39139003100","12"
"39005971000","7"
"39117965200","12"
"39043040500","9"
"39035103800","11"
"39041011561","12"
"39093070102","4"
"39053953600","6"
"39049008710","3"
"39061022200","2"
"39167020102","6"
"39017001002","8"
"39045033100","15"
"39159050100","4"
"39141956100","2"
"39157021100","7"
"39045032800","15"
"39171950900","5"
"39095009201","5"
"39153532003","16"
"39099811400","13"
"39061023522","2"
"39139002600","7"
"39035115300","11"
"39133601501","13"
"39153510301","13"
"39153530901","13"
"39045030200","15"
"39093023400","9"
"39153533102","14"
"39145002700","6"
"39035151400","11"
"39099811001","13"
"39113050502","10"
"39113115011","10"
"39155930800","13"
"39113050104","10"
"39043041800","4"
"39061023210","2"
"39103410000","7"
"39049009373","3"
"39095005502","9"
"39113021400","10"
"39035183401","11"
"39159050400","4"
"39113150100","10"
"39035134204","9"
"39035177302","9"
"39155921200","13"
"39153508800","11"
"39093070600","4"
"39035138110","9"
"39035154400","11"
"39167020900","6"
"39099801500","13"
"39043040200","9"
"39061003200","1"
"39035155102","14"
"39103416200","7"
"39089753600","12"
"39017010301","8"
"39049000730","3"
"39035177303","9"
"39099802400","13"
"39035130105","9"
"39095005702","9"
"39035124100","9"
"39087050300","6"
"39017011125","8"
"39133600705","16"
"39035141700","11"
"39161020800","5"
"39049000120","12"
"39113130102","10"
"39071954600","2"
"39015951500","2"
"39089757700","12"
"39133601901","13"
"39095001700","9"
"39093022800","9"
"39139001200","12"
"39113080300","10"
"39079957700","6"
"39113021501","10"
"39017000100","8"
"39171950600","5"
"39035137101","9"
"39025040102","2"
"39095001201","9"
"39049007730","3"
"39031961300","7"
"39077915500","4"
"39129021500","15"
"39035189112","16"
"39061004702","2"
"39067975900","6"
"39093022601","9"
"39017000500","8"
"39139002200","12"
"39081011800","6"
"39015951600","2"
"39035172102","14"
"39155931602","13"
"39025041501","2"
"39029952300","6"
"39029951500","6"
"39049003600","3"
"39087050100","6"
"39095007600","5"
"39035152201","11"
"39049006923","3"
"39043041200","9"
"39113021000","10"
"39099802100","13"
"39113021301","10"
"39153530401","14"
"39093060200","4"
"39035140600","11"
"39061021506","1"
"39159050304","4"
"39113000801","10"
"39169003100","16"
"39169000200","16"
"39113001900","10"
"39025041406","2"
"39085205300","14"
"39157020500","7"
"39061010004","1"
"39087050200","6"
"39095009600","5"
"39049002740","3"
"39167021200","6"
"39085206200","14"
"39005971100","7"
"39103409001","7"
"39143960800","4"
"39133601200","13"
"39093096100","7"
"39061021508","1"
"39137030600","5"
"39007000802","14"
"39113060200","10"
"39083007000","7"
"39029950700","6"
"39093071201","4"
"39041012400","12"
"39017014300","8"
"39099810300","13"
"39165032006","1"
"39153533502","16"
"39079957200","6"
"39159050200","4"
"39153530604","14"
"39153531801","13"
"39035116400","11"
"39095008800","5"
"39095010002","9"
