"District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"1",244016.304240322,1528852484.17105,0.322654522544521,0.568026867801622,0.466492103432013
"10",802011.10251576,13410211321.7904,0.261990006004524,0.51184959314678,0.44433819135812
"11",356978.66276004,2128022626.94234,0.209846431722025,0.458089982123627,0.268174367716314
"12",1042930.24255085,11577469403.7855,0.133755910991638,0.365726552210306,0.305193802317211
"13",486389.542095088,5865880318.49231,0.311583609997093,0.558196748465175,0.393700214628551
"14",604146.587922156,10345384227.2486,0.356181890712795,0.596809760906099,0.398806390015578
"15",513286.505535303,4983185505.61907,0.237682510126278,0.487526932718879,0.258753886010306
"16",276717.425134695,1139568932.79808,0.187015433854863,0.432452811130721,0.336396005386216
"2",410533.830163054,6202662631.80463,0.462476981675198,0.68005660181723,0.638465733792453
"3",1226077.42115838,20824681525.4049,0.174081428943185,0.417230666350383,0.287902312861212
"4",864127.581160819,14645559891.8006,0.246467754819295,0.496455189135228,0.513878453102157
"5",470202.03312916,2365809465.59631,0.1344685196421,0.36669949501206,0.200815976275381
"6",294000.406487718,1599199540.87302,0.23249662810351,0.48217904154319,0.365288729520305
"7",414658.422979278,4436591571.39986,0.324248764921246,0.569428454611504,0.557470236881813
"8",241096.011400306,927462229.134311,0.200505386732381,0.447778278540151,0.24311715597567
"9",761029.681004699,13983469496.0225,0.30340421736354,0.550821402419641,0.534468354128821
