"District","Population","VAP_MOD","Votes Democratic","Votes Republican","Votes Green","Votes Libertarian","Votes Cast","Votes Two Parties","% Votes Democratic (2P)","% Votes Republican (2P)","% Votes Two Parties","Turnout % (POP)","Turnout % (VAP)","% Margin (2P)","Winner"
"1",718345,597440,179965.81,230566.92,1145.69,5666.43,417344.85,410532.73,43.8371405855996,56.1628594144004,98.3677479187775,58.0981074553314,69.8555252410284,-12.3257188288008,"Republican"
"2",724140,553395,101898.87,260997.15,1116.32,4822.48,368834.82,362896.02,28.0793572770514,71.9206427229486,98.3898483337338,50.9341867594664,66.6494673786355,-43.8412854458972,"Republican"
"3",718201,573575,140569.23,227107.64,1034.56,4332.97,373044.4,367676.87,38.2317304866091,61.7682695133909,98.5611551868893,51.9415038408468,65.0384692498801,-23.5365390267818,"Republican"
"4",724738,567343,163563.39,188580.39,1232.06,4926.9,358302.74,352143.78,46.4478997754837,53.5521002245162,98.281073708786,49.4389337940055,63.1545185187796,-7.1042004490325,"Republican"
"5",719355,582890,220858.95,162540.09,1210.88,4945.34,389555.26,383399.04,57.6055041765363,42.3944958234637,98.4196799190954,54.1534096517019,66.8316938015749,15.2110083530726,"Democrat"
"6",725947,542125,91278.72,229188.45,923.42,3293.65,324684.24,320467.17,28.4830174647843,71.5169825352157,98.7011781046102,44.7256122003397,59.8910288217662,-43.0339650704314,"Republican"
"7",718777,618675,246877.57,108344.89,1417.21,4256.76,360896.43,355222.46,69.4994257964431,30.5005742035568,98.4278121011061,50.2097910756744,58.3337665171536,38.9988515928863,"Democrat"
"8",722384,595072,153182.58,261624.22,1094.76,5335.39,421236.95,414806.8,36.9286569072638,63.0713430927362,98.4735076065858,58.3120542536933,70.7875601607873,-26.1426861854724,"Republican"
"9",718708,573984,143742.17,231507.24,1229.03,4297.01,380775.45,375249.41,38.3057684221276,61.6942315778724,98.5487404715824,52.9805498199547,66.3390355828734,-23.3884631557448,"Republican"
"10",721522,543174,140241.78,199381,1254.5,3336.78,344214.06,339622.78,41.2933961614707,58.7066038385294,98.6661555893446,47.7066617511316,63.3708645848292,-17.4132076770587,"Republican"
"11",717665,544188,101918.19,237106.57,1106.98,4242.81,344374.55,339024.76,30.0621671408307,69.9378328591693,98.4465199301168,47.9854179875011,63.2822756106346,-39.8756657183387,"Republican"
"12",725321,571197,169131.22,199787.71,1226.54,4193.79,374339.26,368918.93,45.8450912237005,54.1549087762995,98.5520273775185,51.6101505402436,65.535928935201,-8.30981755259891,"Republican"
"13",718586,558634.320211373,202721.855836872,139223.724988821,1248.09961491419,4108.57887199343,347302.259312601,341945.580825693,59.2848298689404,40.7151701310596,98.4576321220859,48.3313422906376,62.169875130692,18.5696597378807,"Democrat"
"14",722196,546083.889173754,188862.228597631,125381.872166241,1277.61706584261,2799.48094357617,318321.198773291,314244.100763872,60.1004849855703,39.8995150144297,98.7191874040653,44.0768432355331,58.2916297448223,20.2009699711407,"Democrat"
"15",718308,590383.173512476,192062.241140115,194950.521224568,1164.79937044146,3560.95444913628,391738.516184261,387012.762364683,49.6268495040312,50.3731504959688,98.7936458570352,54.5362875234943,66.3532657703672,-0.74630099193768,"Republican"
"16",722311,582305.617102396,242262.384425381,158535.68162037,1122.97394880174,3449.36573529412,405370.405729848,400798.066045752,60.4449983542901,39.5550016457099,98.8720588332383,56.121311419852,69.6147167095873,20.8899967085802,"Democrat"
