"GEO_ID","CIT_EST","district"
"39001001AAA",1461,1
"39001001AAB",482,1
"39001001AAC",754,1
"39001001AAD",1110,1
"39001001AAE",557,1
"39001001AAF",94,1
"39001001AAG",403,1
"39001001AAH",643,1
"39001001AAI",1118,1
"39001001AAJ",55,1
"39001001AAK",640,1
"39001001AAL",590,1
"39001001AAM",767,1
"39001001AAN",1350,1
"39001001AAO",773,1
"39001001AAP",906,1
"39001001AAQ",876,1
"39001001AAR",686,1
"39001001AAS",1319,1
"39001001AAT",393,1
"39001001AAU",942,1
"39001001AAV",851,1
"39001001AAW",1121,1
"39001001AAX",746,1
"39001001AAY",1142,1
"39001001AAZ",1175,1
"39001001ABA",569,1
"39001001ABB",933,1
"39001001ABC",757,1
"39001001ABD",984,1
"39001001ABE",155,1
"39001001ABF",1143,1
"39001001ABG",1157,1
"39001001ABH",1051,1
"39001001ABI",847,1
"39003000057",585,6
"39003003AAA",1229,6
"39003003AAC",757,6
"39003003AAE",1147,6
"39003003AAG",805,6
"39003003AAH",4293,6
"39003003AAJ",570,6
"39003003AAK",510,6
"39003003AAL",1625,6
"39003003AAN",767,6
"39003003AAO",1553,6
"39003003AAP",576,6
"39003003AAQ",319,6
"39003003AAR",382,6
"39003003AAS",389,6
"39003003AAT",813,6
"39003003AAV",810,6
"39003003AAW",1564,6
"39003003AAX",1379,6
"39003003AAY",1201,6
"39003003ABE",844,6
"39003003ABF",847,6
"39003003ABH",414,6
"39003003ABI",613,6
"39003003ABJ",626,6
"39003003ABK",808,6
"39003003ABM",636,6
"39003003ABP",1117,6
"39003003ABQ",563,6
"39003003ABR",1282,6
"39003003ABT",1212,6
"39003003ABW",697,6
"39003003ABX",866,6
"39003003ABZ",682,6
"39003003ACA",673,6
"39003003ACB",535,6
"39003003ACC",1006,6
"39003003ACD",1780,6
"39003003ACE",944,6
"39003003ACG",499,6
"39003003ACH",829,6
"39003003ACI",570,6
"39003003ACM",1327,6
"39003003ACN",1638,6
"39003003ACO",1511,6
"39003003ACT",1280,6
"39003003ACU",791,6
"39003003ACW",539,6
"39003003ACX",453,6
"39003003ACY",428,6
"39003003ADA",527,6
"39003003ADB",1069,6
"39003003ADC",643,6
"39003003ADD",943,6
"39003003ADF",876,6
"39003003ADG",1750,6
"39003003ADI",1131,6
"39003003ADJ",1016,6
"39003003ADK",673,6
"39003003ADL",541,6
"39003003ADO",533,6
"39003003ADP",206,6
"39003003ADQ",1131,6
"39003003ADR",842,6
"39003003ADT",1028,6
"39003003ADU",417,6
"39003003ADW",1338,6
"39003003ADY",547,6
"39003003ADZ",877,6
"39003003AEA",721,6
"39003003AEB",460,6
"39003003AEC",1161,6
"39003003AED",766,6
"39003003AEE",1168,6
"39003003AEF",607,6
"39003003AEG",843,6
"39003003AEI",760,6
"39003003AEJ",934,6
"39003003AEK",875,6
"39003003AEN",1251,6
"39003003AEO",445,6
"39003003AEQ",1360,6
"39003003AES",1589,6
"39003003AET",1188,6
"39003003AEW",524,6
"39003003AEX",893,6
"39003003AEY",809,6
"39003003AEZ",845,6
"39003003AFA",937,6
"39003003AFB",1141,6
"39003003AFC",610,6
"39003003AFE",382,6
"39003003AFF",1009,6
"39003003AFG",958,6
"39003003AFI",1009,6
"39003003AFJ",756,6
"39003003AFK",777,6
"39003003AFL",621,6
"39003003AFM",777,6
"39003003AFN",782,6
"39003003AFO",537,6
"39003003AFP",129,6
"39003003AFQ",708,6
"39003003AFR",765,6
"39003003AFS",711,6
"39003003AFT",609,6
"39003003AFU",622,6
"39003003AFV",574,6
"39003003AFW",517,6
"39003003AFX",777,6
"39003003AFY",358,6
"39003003AFZ",818,6
"39003003AGA",808,6
"39003003AGB",1228,6
"39003003AGC",1244,6
"39003003AGD",1246,6
"39003003AGI",844,6
"39003003AGK",1223,6
"39003003AGL",1000,6
"39003003AGN",1283,6
"39005005AAA",1112,14
"39005005AAB",1750,10
"39005005AAC",762,10
"39005005AAD",731,14
"39005005AAE",700,14
