Geography,dist1,dist2,distfrom
39001770100,10,18,8
39001770200,10,19,9
39001770300,11,19,8
39001770400,12,20,8
39001770500,11,19,8
39001770600,12,20,8
39003010100,11,10,-1
39003010200,10,10,0
39003010300,10,11,1
39003010600,9,13,4
39003010800,10,12,2
39003010900,11,13,2
39003011000,10,12,2
39003011200,10,12,2
39003011300,9,11,2
39003011400,9,10,1
39003011500,8,11,3
39003011600,8,12,4
39003011800,10,13,3
39003011900,9,13,4
39003012000,10,13,3
39003012100,9,13,4
39003012200,11,13,2
39003012300,11,13,2
39003012400,11,13,2
39003012600,10,12,2
39003012700,10,13,3
39003012900,11,13,2
39003013000,11,13,2
39003013100,11,14,3
39003013200,11,14,3
39003013300,11,13,2
39003013400,10,13,3
39003013600,9,13,4
39003013700,9,13,4
39003013800,9,13,4
39003013900,10,13,3
39003014000,11,12,1
39003014100,10,12,2
39005970100,16,3,-13
39005970200,15,3,-12
39005970300,15,4,-11
39005970400,16,4,-12
39005970500,16,5,-11
39005970600,15,5,-10
39005970700,15,6,-9
39005970800,15,5,-10
39005970900,15,4,-11
39005971000,14,5,-9
39005971100,14,5,-9
39007000101,22,8,-14
39007000200,22,8,-14
39007000300,22,8,-14
39007000400,22,8,-14
39007000500,23,9,-14
39007000601,23,9,-14
39007000602,22,8,-14
39007000603,22,8,-14
39007000701,23,9,-14
39007000702,23,9,-14
39007000703,24,10,-14
39007000704,23,9,-14
39007000801,22,8,-14
39007000802,22,8,-14
39007000900,21,7,-14
39007001001,23,9,-14
39007001002,22,8,-14
39007001101,24,10,-14
39007001102,23,9,-14
39007001200,23,9,-14
39007001301,25,11,-14
39007001302,24,10,-14
39007001400,24,10,-14
39007990000,21,7,-14
39009972600,11,12,1
39009972700,11,13,2
39009972800,10,14,4
39009972900,11,14,3
39009973000,12,14,2
39009973101,12,15,3
39009973200,11,14,3
39009973300,12,14,2
39009973400,11,13,2
39009973500,12,12,0
39009973600,12,13,1
39009973700,11,13,2
39009973800,10,14,4
39009973901,13,15,2
39009973902,12,14,2
39011040100,7,11,4
39011040200,8,12,4
39011040300,8,13,5
39011040400,8,13,5
39011040500,8,13,5
39011040600,8,13,5
39011040900,9,14,5
39011041000,9,14,5
39011041100,7,12,5
39011041201,9,14,5
39011041202,9,14,5
39013010100,19,13,-6
39013010200,19,13,-6
39013010300,18,12,-6
39013010600,17,11,-6
39013010700,17,11,-6
39013010802,18,12,-6
39013010900,17,11,-6
39013011000,16,11,-5
39013011200,17,12,-5
39013011300,18,13,-5
39013011400,18,13,-5
39013012200,18,12,-6
39013012300,18,12,-6
39013012400,19,13,-6
39015951201,9,19,10
39015951202,10,20,10
39015951300,10,20,10
39015951400,10,20,10
39015951500,10,19,9
39015951600,11,20,9
39015951700,11,20,9
39015951800,11,21,10
39015951900,11,21,10
39017000100,17,23,6
39017000200,16,22,6
39017000300,16,22,6
39017000400,16,23,7
39017000500,15,23,8
39017000600,15,23,8
39017001001,15,22,7
39017001002,15,21,6
39017001100,16,22,6
39017001300,15,21,6
39017010202,13,19,6
39017010203,14,20,6
39017010301,14,21,7
39017010302,14,20,6
39017010500,15,22,7
39017010600,14,21,7
39017010800,15,21,6
39017010901,16,22,6
39017010903,17,24,7
39017010904,17,23,6
39017010906,16,24,8
39017010907,17,25,8
39017010908,16,24,8
39017010909,15,24,9
39017010910,17,23,6
39017010911,16,22,6
39017011002,14,22,8
39017011003,14,23,9
39017011004,15,23,8
39017011109,12,23,11
39017011110,13,24,11
39017011111,13,24,11
39017011112,14,24,10
39017011116,13,24,11
39017011117,13,23,10
39017011118,11,22,11
39017011120,12,23,11
39017011121,12,23,11
39017011122,14,25,11
39017011123,14,25,11
39017011125,13,24,11
39017011126,13,24,11
39017011127,14,25,11
39017011128,13,24,11
39017011129,14,25,11
39017011130,14,25,11
39017011131,13,24,11
39017011200,11,22,11
39017011300,12,23,11
39017011800,13,22,9
39017012100,13,22,9
39017012200,12,22,10
39017012300,12,23,11
39017012400,11,22,11
39017012500,11,22,11
39017012600,12,23,11
39017012700,13,23,10
39017013000,12,22,10
39017013100,12,23,11
39017013200,12,23,11
39017013300,12,23,11
39017013400,12,23,11
39017013500,12,23,11
39017013600,11,22,11
39017013900,12,23,11
39017014000,12,22,10
39017014100,11,22,11
39017014300,13,21,8
39017014400,13,23,10
39017014600,15,23,8
39017014700,16,22,6
39017014800,15,21,6
39017014900,15,21,6
39017015000,14,20,6
39017015100,13,22,9
39019720100,20,13,-7
39019720200,21,13,-8
39019720300,21,12,-9
39019720400,20,12,-8
39019720500,20,13,-7
39019720600,19,13,-6
39019720700,19,12,-7
39021010100,5,12,7
39021010200,5,12,7
39021010400,5,13,8
39021010500,5,13,8
39021010600,5,14,9
39021011001,4,13,9
39021011501,5,12,7
39021011504,4,13,9
39021011505,5,12,7
39021011506,5,12,7
39023000200,1,17,16
39023000300,0,17,17
39023000400,1,17,16
39023000500,2,16,14
39023000600,2,16,14
39023000700,2,16,14
39023000901,2,17,15
39023000902,2,17,15
39023001000,3,16,13
39023001101,2,17,15
39023001102,2,16,14
39023001200,1,16,15
39023001300,1,16,15
39023001400,2,16,14
39023001500,2,16,14
39023001600,2,15,13
39023001700,3,15,12
39023001900,2,16,14
39023002000,2,15,13
39023002100,2,16,14
39023002200,2,15,13
39023002301,4,13,9
39023002403,4,15,11
39023002404,4,16,12
39023002501,4,15,11
39023002502,3,15,12
39023002601,4,13,9
39023002602,3,14,11
39023002605,3,14,11
39023002606,4,15,11
39023002701,4,14,10
39023002702,4,15,11
39023002800,3,14,11
39023002901,4,15,11
39023002902,4,15,11
39023003001,4,15,11
39023003002,3,15,12
39023003101,4,15,11
39023003102,4,15,11
39023003200,3,16,13
39023003301,3,14,11
39023003302,4,15,11
39023003400,1,16,15
39023003700,3,15,12
39025040101,10,20,10
39025040102,11,21,10
39025040202,10,21,11
39025040203,10,21,11
39025040204,11,22,11
39025040301,12,23,11
39025040302,11,22,11
39025040303,11,22,11
39025040401,13,24,11
39025040403,12,23,11
39025040404,12,23,11
39025040405,12,23,11
39025040500,13,23,10
39025040600,12,22,10
39025040701,12,23,11
39025040702,11,22,11
39025040800,11,21,10
39025040900,11,21,10
39025041000,11,21,10
39025041101,12,22,10
39025041102,12,22,10
39025041103,12,22,10
39025041200,13,23,10
39025041303,13,23,10
39025041304,13,23,10
39025041305,14,24,10
39025041306,13,23,10
39025041307,12,22,10
39025041403,14,24,10
39025041404,14,24,10
39025041405,13,23,10
39025041406,13,23,10
39025041501,13,23,10
39025041502,12,22,10
39025041600,13,23,10
39025041701,12,22,10
39025041702,12,22,10
39025041900,11,21,10
39025042000,12,22,10
39027964300,6,17,11
39027964400,7,18,11
39027964500,8,19,11
39027964600,9,20,11
39027964700,8,19,11
39027964800,8,19,11
39027964900,9,20,11
39027965000,8,19,11
39027965100,7,18,11
39029950100,23,16,-7
39029950200,24,17,-7
39029950300,23,16,-7
39029950400,22,15,-7
39029950500,23,16,-7
39029950600,24,17,-7
39029950700,23,16,-7
39029950800,22,15,-7
39029950900,22,14,-8
39029951000,21,14,-7
39029951100,21,15,-6
39029951200,20,14,-6
39029951300,21,15,-6
39029951400,22,16,-6
39029951500,23,17,-6
39029951600,23,17,-6
39029951700,22,16,-6
39029951800,21,15,-6
39029951900,22,16,-6
39029952000,23,17,-6
39029952100,23,17,-6
39029952200,24,18,-6
39029952300,24,18,-6
39029952400,24,18,-6
39031960900,15,8,-7
39031961000,14,7,-7
39031961100,13,7,-6
39031961200,14,8,-6
39031961300,15,8,-7
39031961400,15,9,-6
39031961500,16,9,-7
39031961600,15,9,-6
39031961700,15,9,-6
39031961800,15,9,-6
39033974100,12,6,-6
39033974200,11,6,-5
39033974300,12,7,-5
39033974400,12,7,-5
39033974500,13,8,-5
39033974600,12,7,-5
39033974700,11,7,-4
39033974800,12,7,-5
39033974900,12,7,-5
39033975000,12,8,-4
39033975100,13,8,-5
39033975200,12,8,-4
39033975300,12,7,-5
39035101101,21,7,-14
39035101102,20,6,-14
39035101200,20,6,-14
39035101300,21,7,-14
39035101400,22,8,-14
39035101501,22,8,-14
39035101603,23,9,-14
39035101700,22,8,-14
39035101800,21,7,-14
39035101901,21,7,-14
39035102101,23,9,-14
39035102102,24,10,-14
39035102200,24,10,-14
39035102300,23,9,-14
39035102401,23,9,-14
39035102402,22,8,-14
39035102700,22,8,-14
39035102800,22,8,-14
39035102900,22,8,-14
39035103100,21,7,-14
39035103300,21,7,-14
39035103400,22,8,-14
39035103500,21,7,-14
39035103602,20,6,-14
39035103800,21,7,-14
39035103900,21,7,-14
39035104100,21,7,-14
39035104200,21,7,-14
39035104300,22,8,-14
39035104400,22,8,-14
39035104600,22,8,-14
39035104800,22,8,-14
39035104900,23,9,-14
39035105100,23,9,-14
39035105300,23,9,-14
39035105400,24,10,-14
39035105500,24,10,-14
39035105602,23,9,-14
39035105700,24,10,-14
39035105900,25,11,-14
39035106100,24,10,-14
39035106200,25,11,-14
39035106300,25,11,-14
39035106400,26,12,-14
39035106500,25,11,-14
39035106600,26,12,-14
39035106800,25,11,-14
39035106900,25,11,-14
39035107000,24,10,-14
39035107101,20,6,-14
39035107701,21,7,-14
39035107802,21,7,-14
39035108201,20,6,-14
39035108301,21,7,-14
39035108400,21,7,-14
39035108701,22,8,-14
39035109301,22,8,-14
39035109701,23,9,-14
39035109801,23,9,-14
39035110501,23,9,-14
39035110801,23,9,-14
39035110901,23,9,-14
39035111202,20,6,-14
39035111401,21,7,-14
39035111500,21,7,-14
39035111600,21,7,-14
39035111700,21,7,-14
39035111800,22,8,-14
39035111902,21,7,-14
39035112100,21,7,-14
39035112200,22,8,-14
39035112301,22,8,-14
39035112400,22,8,-14
39035112500,22,8,-14
39035112600,23,9,-14
39035112800,23,9,-14
39035113101,23,9,-14
39035113500,24,10,-14
39035113600,24,10,-14
39035113801,23,9,-14
39035114100,24,10,-14
39035114300,25,11,-14
39035114501,25,11,-14
39035114600,24,10,-14
39035114700,24,10,-14
39035114900,24,10,-14
39035115100,24,10,-14
39035115200,24,10,-14
39035115300,25,11,-14
39035115400,24,10,-14
39035115700,24,10,-14
39035115800,24,10,-14
39035115900,24,10,-14
39035116100,21,7,-14
39035116200,21,7,-14
39035116300,22,8,-14
39035116400,22,8,-14
39035116500,22,8,-14
39035116600,23,9,-14
39035116700,21,7,-14
39035116800,22,8,-14
39035116900,23,9,-14
39035117101,20,6,-14
39035117102,21,7,-14
39035117201,20,6,-14
39035117202,21,7,-14
39035117300,22,8,-14
39035117400,22,8,-14
39035117500,22,8,-14
39035117600,20,6,-14
39035117700,20,6,-14
39035117800,21,7,-14
39035117900,22,8,-14
