GEO_ID,CIT_EST,district
39001770100,4670,8
39001770200,4960,8
39001770300,7020,8
39001770400,4665,8
39001770500,3290,8
39001770600,3545,8
39003010100,4405,3
39003010200,4100,3
39003010300,1530,3
39003010600,5010,2
39003010800,7650,2
39003010900,4760,3
39003011000,5740,3
39003011200,2630,3
39003011300,7335,3
39003011400,2985,3
39003011500,2740,3
39003011600,2770,3
39003011800,2580,3
39003011900,3030,3
39003012000,2235,3
39003012100,3390,2
39003012200,3525,3
39003012300,3855,3
39003012400,2630,3
39003012600,1970,3
39003012700,1900,3
39003012900,1460,3
39003013000,4370,3
39003013100,2350,3
39003013200,1910,3
39003013300,1305,3
39003013400,2460,3
39003013600,1290,3
39003013700,1160,3
39003013800,2825,3
39003013900,3345,2
39003014000,3410,4
39003014100,1965,3
39005970100,8280,16
39005970200,5815,16
39005970300,3945,16
39005970400,3640,16
39005970500,2840,16
39005970600,5180,16
39005970700,5240,16
39005970800,3805,16
39005970900,5170,16
39005971000,4945,16
39005971100,3800,16
39007000101,4810,13
39007000102,3265,13
39007000103,3835,13
39007000200,4240,13
39007000300,2045,13
39007000400,1770,13
39007000500,4340,13
39007000601,2585,13
39007000602,3140,13
39007000603,4175,13
39007000701,3250,13
39007000702,2480,13
39007000703,3590,13
39007000704,4190,13
39007000801,1850,13
39007000802,5370,13
39007000900,4470,13
39007001001,5385,13
39007001002,3330,13
39007001101,2050,13
39007001102,5870,13
39007001200,7540,13
39007001301,3505,13
39007001302,4025,13
39007001400,7995,14
39007990000,0,13
39009972600,4410,10
39009972700,3965,10
39009972800,4365,10
39009972900,5265,10
39009973000,3635,10
39009973101,4395,10
39009973200,4855,10
39009973300,3345,10
39009973400,3585,10
39009973500,3675,10
39009973600,3570,10
39009973700,3795,10
39009973800,5000,10
39009973901,5785,10
39009973902,3065,10
39011040100,3930,2
39011040200,4430,2
39011040300,3700,2
39011040400,6225,2
39011040500,4810,2
39011040600,3535,2
39011040900,3715,2
39011041000,3655,2
39011041100,4230,2
39011041201,1995,2
39011041202,5365,2
39013010100,4235,10
39013010200,3875,10
39013010300,3255,10
39013010600,3595,10
39013010700,2660,10
39013010802,2385,10
39013010900,6610,10
39013011000,4850,10
39013011200,3715,10
39013011300,3815,10
39013011400,4460,10
39013011500,1545,10
39013011600,1255,10
39013011700,1420,10
39013011900,2885,10
39013012000,2730,10
39013012100,1290,10
39013012200,5965,10
39013012300,4135,10
39013012400,4565,10
39015951201,4295,8
39015951202,4825,8
39015951300,7835,8
39015951400,4280,8
39015951500,5360,8
39015951600,3580,8
39015951700,2735,8
39015951800,5360,8
39015951900,5820,8
39017000100,4795,6
39017000200,4535,6
39017000300,3200,5
39017000400,4035,6
39017000500,4400,6
39017000600,4890,6
39017001001,5165,5
39017001002,5605,5
39017001100,4515,5
39017001300,4450,5
39017010101,6665,5
39017010102,2740,5
39017010103,5525,5
39017010104,4605,5
39017010201,1855,5
39017010202,3980,5
39017010203,5580,5
39017010301,4510,5
39017010302,3610,5
39017010500,2370,5
39017010600,3635,5
39017010800,6415,5
39017010901,4005,6
39017010903,4975,6
39017010904,3640,6
39017010906,6725,6
39017010907,2500,6
39017010908,5000,6
39017010909,4785,6
39017010910,4585,6
39017010911,4020,6
39017011002,12675,5
39017011003,6295,6
39017011004,5425,6
39017011109,4075,5
39017011110,5195,5
39017011111,6605,5
39017011112,5360,6
39017011116,8230,6
39017011117,11095,5
39017011118,3420,5
39017011120,7295,5
39017011121,7760,5
39017011122,5270,6
39017011123,4065,6
39017011125,3505,5
39017011126,5080,6
39017011127,4635,6
39017011128,3210,6
39017011129,3800,6
39017011130,4700,6
39017011131,2865,6
39017011200,7730,5
39017011300,5390,5
39017011800,5685,5
39017012100,3130,5
39017012200,3115,5
39017012300,2305,5
39017012400,2250,5
39017012500,4585,5
39017012600,2610,5
39017012700,3000,5
39017013000,1410,5
39017013100,2005,5
39017013200,3580,5
39017013300,1955,5
39017013400,2215,5
39017013500,2955,5
39017013600,4995,5
39017013900,2730,5
39017014000,2340,5
39017014100,2280,5
39017014300,4610,5
39017014400,1460,5
39017014600,940,5
39017014700,3950,5
39017014800,6940,5
39017014900,4870,5
39017015000,7520,5
39017015100,7425,5
39019720100,3440,11
39019720200,3805,11
39019720300,4970,11
39019720400,4030,11
39019720500,5410,11
39019720600,3465,11
39019720700,3095,11
39021010100,1975,2
39021010200,7245,2
39021010400,4010,2
39021010500,3945,2
39021010600,4060,2
39021011001,2735,2
39021011501,4020,2
39021011504,5060,2
39021011505,3345,2
39021011506,2835,2
39023000200,1465,2
39023000300,1330,2
39023000400,2115,2
39023000500,1500,2
39023000600,2700,2
39023000700,2600,2
39023000901,2515,2
39023000902,1050,2
39023001000,1370,2
39023001101,1225,2
39023001102,2845,2
39023001200,4685,2
39023001300,3640,2
39023001400,3620,2
39023001500,4810,2
39023001600,4065,2
39023001700,2300,2
39023001900,2900,2
39023002000,2165,2
39023002100,1580,2
39023002200,4220,2
39023002301,3190,2
39023002403,4005,2
39023002404,3145,2
39023002501,2085,2
39023002502,3055,2
39023002601,3760,2
39023002602,3990,2
39023002605,3940,2
39023002606,7340,2
39023002701,3205,2
39023002702,2220,2
39023002800,4390,2
39023002901,3750,2
39023002902,4355,2
39023003001,2915,2
39023003002,3480,2
39023003101,2640,2
39023003102,1920,2
39023003200,2580,2
39023003301,3505,2
39023003302,2675,2
39023003400,3795,2
39023003700,4620,2
39025040101,4860,8
39025040102,3060,8
39025040202,2325,8
39025040203,6575,8
39025040204,6620,8
39025040301,3680,8
39025040302,3270,8
39025040303,7590,8
39025040401,3585,8
39025040403,2735,8
39025040404,3740,8
39025040405,2670,8
39025040500,5035,8
39025040600,6815,8
39025040701,6715,8
39025040702,3820,8
39025040800,5925,8
39025040900,5835,8
39025041000,7560,8
39025041101,2690,8
39025041102,4510,8
39025041103,8625,8
39025041200,8325,8
39025041303,5290,8
39025041304,40,8
39025041305,5135,8
39025041306,4050,8
39025041307,4695,8
39025041403,4285,8
39025041404,4565,8
39025041405,5535,8
39025041406,4785,8
39025041501,6740,8
39025041502,7770,8
39025041600,5240,8
39025041701,4530,8
39025041702,3325,8
39025041800,3900,8
39025041900,5600,8
39025042000,6450,8
39027964300,3825,7
39027964400,5245,7
39027964500,6545,7
39027964600,2495,7
39027964700,5500,7
39027964800,4845,7
39027964900,5040,8
39027965000,4090,7
39027965100,4130,7
39029950100,5960,12
39029950200,4485,12
39029950300,5200,12
39029950400,4350,12
39029950500,5730,12
39029950600,5140,12
39029950700,5210,12
39029950800,4340,12
39029950900,3915,12
39029951000,5745,11
39029951100,4740,12
39029951200,4635,11
39029951300,3705,12
39029951400,7215,12
39029951500,4430,12
39029951600,5485,12
39029951700,4980,12
39029951800,3275,12
39029951900,3705,12
39029952000,2555,12
39029952100,1395,12
39029952200,2045,12
39029952300,3120,12
39029952400,4075,12
39031960900,4690,10
39031961000,5015,10
39031961100,4415,10
39031961200,2640,10
39031961300,3850,10
